,Layer,Erythema_multiforme nodes,Acute_febrile_mucocutaneous_lymph_node_syndrome nodes,sAB
0,coex_KDN,41,34,0.11516977522716387
1,coex_BST,23,16,-0.09594481605351146
2,coex_OVR,30,24,-0.4032407407407408
3,coex_LNG,29,34,0.019736630284297618
4,coex_ITI,33,32,-0.15354020979020988
5,coex_VGN,27,29,-0.13023088023088047
6,coex_HRV,14,27,-0.2631766381766383
7,coex_MSG,32,32,-0.0625
8,coex_ADV,25,28,-0.12632444282060673
9,coex_EMS,24,22,-0.07772702104097462
10,coex_SMU,22,26,-0.1006701631701632
11,coex_ARG,27,20,0.042375886524822715
12,coex_TST,29,33,0.11979640678194614
13,coex_PIT,30,31,-0.053974969152124075
14,coex_LVR,35,31,-0.12396138807429136
15,coex_THY,25,26,0.07711915535444946
16,coex_PNC,30,24,-0.21851851851851833
17,coex_ATC,28,32,0.10997023809523787
18,coex_BRO,31,33,0.14317570869990215
19,coex_SKN,33,28,-0.09092261904761889
20,coex_ADS,21,28,-0.06802721088435426
21,coex_GEJ,26,26,-0.04056122448979593
22,coex_BRB,24,25,-0.0030442176870750792
23,coex_UTR,22,20,-0.0057359307359305944
24,coex_STM,32,30,-0.19780539397144392
25,coex_HRA,22,26,-0.24884716732542822
26,coex_PRS,25,24,0.08333333333333348
27,coex_ATA,27,28,0.28484848484848513
28,coex_FIB,26,23,-0.07144563511023128
29,coex_BRC,32,25,-0.2981566820276498
30,coex_ATT,30,26,-0.11515553412105106
31,coex_TNV,16,24,0.1618683901292597
32,coex_SPL,34,34,-0.20588235294117663
33,coex_LCL,22,18,-0.05883838383838391
34,coex_CLS,31,28,-0.255427841634738
35,coex_EMC,25,32,-0.1499539170506914
36,coex_CLT,31,30,-0.23784464578614362
37,coex_core,35,34,-0.09643106254359446
38,coex_WBL,29,31,0.04004449388209119
39,co-essential,8,5,-1.751923076923077
40,GOBP,19,16,0.46127136752136755
41,ppi,49,50,-0.10006596578025162
42,reactome_copathway,25,15,0.12266899766899764
43,MP,18,12,0.5657051282051286
44,HP,18,22,-0.1959595959595961
45,GI_net,20,18,-0.4176868044515101
46,gene_gene_on_CbG_name_mapped,18,4,-0.101010101010101
47,gene_gene_on_GcG_name_mapped,24,28,-0.16254578754578763
48,GOMF,7,9,
