,Layer,Infection_of_bone nodes,Sinusitis nodes,sAB
0,coex_KDN,36,39,-0.2860360360360361
1,coex_BST,19,21,-0.2395431145431146
2,coex_OVR,23,26,-0.518256029684601
3,coex_LNG,31,41,-0.4006743846240304
4,coex_ITI,34,34,-0.38927022640806674
5,coex_VGN,27,27,-0.6440928882438319
6,coex_HRV,22,21,-0.7045454545454546
7,coex_MSG,31,35,-0.6010752688172043
8,coex_ADV,25,23,-0.47010295063884544
9,coex_EMS,25,19,-1.0564534951569615
10,coex_SMU,18,26,-0.9171834625323001
11,coex_ARG,19,19,-0.6435514461830254
12,coex_TST,25,36,-0.24603825136612012
13,coex_PIT,24,31,-0.3467253176930596
14,coex_LVR,29,26,-0.4840357598978291
15,coex_THY,24,33,-0.6468301435406696
16,coex_PNC,23,25,-0.37967391304347853
17,coex_ATC,27,33,-0.45959595959595956
18,coex_BRO,23,32,-0.22991600790513833
19,coex_SKN,22,27,-0.5268065268065267
20,coex_ADS,25,30,-0.5062324393358875
21,coex_GEJ,27,29,-1.1581828133552272
22,coex_BRB,20,28,-0.3560086682427108
23,coex_UTR,13,18,-0.6944444444444446
24,coex_STM,29,33,-0.5766091831665601
25,coex_HRA,21,19,-0.22222222222222232
26,coex_PRS,22,26,-0.6477866105525678
27,coex_ATA,20,25,-0.5946969696969695
28,coex_FIB,12,19,-0.41093661573288043
29,coex_BRC,19,22,-0.5422744777687012
30,coex_ATT,17,29,-0.4376929182467588
31,coex_TNV,16,19,-0.956060606060606
32,coex_SPL,33,32,-0.21875
33,coex_LCL,17,23,-0.8795454545454546
34,coex_CLS,29,28,-0.517857142857143
35,coex_EMC,29,33,-0.5910774410774411
36,coex_CLT,30,31,-0.517519466073415
37,coex_core,33,35,-0.41543778801843323
38,coex_WBL,32,35,-0.5656449893390192
39,co-essential,8,5,-0.22211538461538538
40,GOBP,17,18,0.7364207779886143
41,ppi,50,48,-0.1634353741496597
42,reactome_copathway,24,18,-0.01274236192714473
43,MP,11,13,0.12849650349650377
44,HP,36,44,-0.0635101010101009
45,GI_net,23,23,-0.5729468599033818
46,gene_gene_on_CbG_name_mapped,18,8,-0.26709401709401703
47,gene_gene_on_GcG_name_mapped,30,24,-0.27083333333333326
48,GOMF,6,4,
