,Layer,Benign_Neonatal_Epilepsy nodes,Essential_tremor nodes,sAB
0,coex_KDN,28,37,-0.3125853875853877
1,coex_BST,21,26,-0.41329431438127107
2,coex_OVR,13,25,-0.2447297297297295
3,coex_LNG,19,29,-0.2458030852994555
4,coex_ITI,26,33,-0.15052743866303198
5,coex_VGN,28,35,-0.1626984126984128
6,coex_HRV,17,19,-0.37598899208806347
7,coex_MSG,20,33,-0.25048599199542587
8,coex_ADV,15,28,-0.019573643410852437
9,coex_EMS,20,27,-0.5423561859732073
10,coex_SMU,16,26,-0.35897435897435925
11,coex_ARG,19,28,-0.39341705327147647
12,coex_TST,29,36,-0.12144120247568524
13,coex_PIT,31,34,-0.2614946723106115
14,coex_LVR,20,25,-0.2571969696969698
15,coex_THY,17,27,-0.8180717054263562
16,coex_PNC,22,28,-0.6914285714285713
17,coex_ATC,21,33,-0.38060141509433953
18,coex_BRO,39,43,-0.3923164186919148
19,coex_SKN,21,28,-0.39551671732522786
20,coex_ADS,17,25,-0.5936106465997772
21,coex_GEJ,20,29,-0.5208333333333333
22,coex_BRB,36,30,-0.3968137254901962
23,coex_UTR,10,22,-0.4016897081413213
24,coex_STM,20,32,-0.22716346153846145
25,coex_HRA,19,28,-0.4251207729468598
26,coex_PRS,13,27,-0.37820512820512864
27,coex_ATA,19,23,-0.5837904072820628
28,coex_FIB,12,22,-0.3442513368983957
29,coex_BRC,35,41,-0.4472523219814242
30,coex_ATT,18,30,-0.5138888888888886
31,coex_TNV,18,24,-0.4786871270247228
32,coex_SPL,16,25,-0.46070121951219534
33,coex_LCL,5,14,-0.7941176470588236
34,coex_CLS,27,36,-0.3207671957671958
35,coex_EMC,20,26,-0.2301839464882942
36,coex_CLT,27,33,-0.321043771043771
37,coex_core,22,33,-0.22727272727272751
38,coex_WBL,8,21,-0.8679187192118225
39,co-essential,4,8,-1.272727272727273
40,GOBP,25,21,0.20195791527313256
41,ppi,48,50,-0.13310374149659854
42,reactome_copathway,20,16,0.18181818181818166
43,MP,10,11,-0.10714285714285676
44,HP,38,31,-0.15528653330380648
45,GI_net,12,15,0.2087912087912085
46,gene_gene_on_CbG_name_mapped,23,17,-0.3046035805626598
47,gene_gene_on_GcG_name_mapped,33,33,-0.22727272727272707
48,GOMF,7,1,
