,Layer,Head_and_neck_neoplasm nodes,Neoplasm_of_the_pancreas nodes,sAB
0,coex_KDN,41,41,-0.4024390243902438
1,coex_BST,30,27,-0.7007326007326005
2,coex_OVR,36,26,-0.4097049903501513
3,coex_LNG,37,37,-0.5068544571969229
4,coex_ITI,38,41,-0.39598515519568167
5,coex_VGN,38,31,-0.5326579070396891
6,coex_HRV,20,22,-0.5405632984901274
7,coex_MSG,41,38,-0.22530101883297293
8,coex_ADV,24,27,-0.37903846153846166
9,coex_EMS,31,31,-0.10052000705094333
10,coex_SMU,28,25,-0.24200808625336911
11,coex_ARG,30,19,-0.46172079134005206
12,coex_TST,37,35,-0.45492277992277996
13,coex_PIT,31,32,-0.2380072324628777
14,coex_LVR,36,28,-0.4107142857142856
15,coex_THY,36,28,-0.7492559523809526
16,coex_PNC,34,29,-0.4879423033581247
17,coex_ATC,34,32,-0.5048875855327468
18,coex_BRO,34,26,-0.2903469079939667
19,coex_SKN,37,30,-0.2641858276186635
20,coex_ADS,26,27,-0.45676342525399116
21,coex_GEJ,35,28,-0.2700110623839438
22,coex_BRB,29,21,-0.05782312925170063
23,coex_UTR,26,25,-0.6722021116138763
24,coex_STM,39,36,-0.3718376068376068
25,coex_HRA,31,25,-0.43272727272727285
26,coex_PRS,30,30,-0.35875706214689274
27,coex_ATA,31,23,-0.5806307860387554
28,coex_FIB,31,26,-0.39743589743589736
29,coex_BRC,32,24,-0.4419642857142858
30,coex_ATT,34,25,-0.24053030303030276
31,coex_TNV,19,25,-0.3127989000478242
32,coex_SPL,36,30,-0.3928676687297379
33,coex_LCL,24,20,-0.5833333333333333
34,coex_CLS,36,35,-0.32372568745808183
35,coex_EMC,37,29,-0.5359623015873014
36,coex_CLT,38,38,-0.28378378378378377
37,coex_core,37,39,-0.2693219535324798
38,coex_WBL,34,30,-0.4346083260890563
39,co-essential,17,15,-0.8757164404223228
40,GOBP,11,10,-0.6274509803921573
41,ppi,49,50,-0.18123891981034834
42,reactome_copathway,34,27,-0.42098223615465
43,MP,9,8,-0.5601190476190476
44,HP,33,28,-0.20879191430038913
45,GI_net,33,31,-0.20695724526369697
46,gene_gene_on_CbG_name_mapped,21,15,-0.1507936507936507
47,gene_gene_on_GcG_name_mapped,28,34,-0.26396042287882904
48,GOMF,4,2,
