,Layer,Dysuria nodes,Pancreatitis nodes,sAB
0,coex_KDN,32,25,0.08848684210526314
1,coex_BST,23,15,-0.13320463320463327
2,coex_OVR,24,17,-0.1078132472501192
3,coex_LNG,25,20,0.19166666666666643
4,coex_ITI,26,26,0.0769230769230771
5,coex_VGN,29,19,0.0344827586206895
6,coex_HRV,11,14,-0.17191142191142195
7,coex_MSG,26,20,-0.16270903010033444
8,coex_ADV,19,17,-0.4497109250398723
9,coex_EMS,24,15,0.19736842105263142
10,coex_SMU,22,15,0.029115479115479292
11,coex_ARG,22,16,0.13963963963963955
12,coex_TST,33,18,0.12789661319073087
13,coex_PIT,36,16,0.20239845938375334
14,coex_LVR,23,22,-0.1209297948428385
15,coex_THY,21,17,0.2235691573926868
16,coex_PNC,24,20,-0.12840909090909092
17,coex_ATC,25,17,-0.050245098039215286
18,coex_BRO,32,19,0.28529711375212186
19,coex_SKN,26,17,0.22573260073260037
20,coex_ADS,21,16,-0.24360902255639116
21,coex_GEJ,22,14,0.08890374331550799
22,coex_BRB,24,15,-0.050320512820512864
23,coex_UTR,19,13,-0.25923628342983207
24,coex_STM,27,20,0.003624901497242039
25,coex_HRA,21,16,-0.5031746031746032
26,coex_PRS,25,13,0.08554054054054028
27,coex_ATA,22,17,-0.2278244631185804
28,coex_FIB,19,13,-0.18547570850202422
29,coex_BRC,23,15,0.023082088299479775
30,coex_ATT,22,17,-0.14754689754689743
31,coex_TNV,19,15,-0.2946236559139783
32,coex_SPL,23,21,-0.1561172901921135
33,coex_LCL,13,8,0.19619963369963367
34,coex_CLS,26,20,-0.1090418353576248
35,coex_EMC,25,17,-0.20624999999999982
36,coex_CLT,28,18,-0.0783298826777088
37,coex_core,27,23,0.103678929765886
38,coex_WBL,23,16,-0.1479584726867338
39,co-essential,6,2,-0.16666666666666696
40,GOBP,21,24,0.9131023918934842
41,ppi,48,41,0.049899515849091136
42,reactome_copathway,10,26,1.6647465437788016
43,MP,20,9,-0.17105263157894735
44,HP,43,28,0.5189333676477468
45,GI_net,19,12,-0.07969912102772181
46,gene_gene_on_CbG_name_mapped,9,15,0.061111111111111116
47,gene_gene_on_GcG_name_mapped,31,24,-0.0006353861192569532
48,GOMF,3,9,
