,Layer,Temporal_lobe_epilepsy nodes,West_syndrome nodes,sAB
0,coex_KDN,31,40,-0.3386926397092229
1,coex_BST,20,30,-0.2928571428571427
2,coex_OVR,19,29,-0.20973230490018135
3,coex_LNG,21,32,-0.1766621743036838
4,coex_ITI,29,35,-0.11071428571428577
5,coex_VGN,25,34,-0.17684945164506471
6,coex_HRV,14,19,-0.1883116883116882
7,coex_MSG,24,33,-0.125
8,coex_ADV,15,28,-0.4343576965669991
9,coex_EMS,22,33,-0.0803030303030301
10,coex_SMU,18,32,-0.3021527777777777
11,coex_ARG,23,34,-0.4361153552330024
12,coex_TST,31,40,-0.2870570195365745
13,coex_PIT,34,42,-0.3739495798319328
14,coex_LVR,21,31,-0.47465437788018416
15,coex_THY,21,30,-0.5933333333333333
16,coex_PNC,25,33,-0.15573667711598693
17,coex_ATC,25,31,-0.21149804496578684
18,coex_BRO,37,40,-0.329585658533027
19,coex_SKN,22,35,-0.474579831932773
20,coex_ADS,21,21,-0.8571428571428572
21,coex_GEJ,22,31,-0.45238095238095277
22,coex_BRB,27,21,-0.2685185185185186
23,coex_UTR,15,26,-0.26913696060037484
24,coex_STM,29,33,-0.1787002393231536
25,coex_HRA,19,32,-0.3684371775025801
26,coex_PRS,19,28,-0.23802191649336102
27,coex_ATA,24,31,-0.4793988269794718
28,coex_FIB,14,28,-0.1607142857142858
29,coex_BRC,33,41,-0.25219594594594597
30,coex_ATT,22,32,-0.2264309764309762
31,coex_TNV,23,18,-0.4458719186122342
32,coex_SPL,18,33,-0.26173499702911474
33,coex_LCL,12,21,-0.25396825396825395
34,coex_CLS,24,34,-0.3880578093306286
35,coex_EMC,19,30,-0.32214464733261705
36,coex_CLT,27,34,-0.24915175541983636
37,coex_core,29,33,-0.27043436789199493
38,coex_WBL,15,28,-0.2916666666666665
39,co-essential,6,8,-0.2846153846153845
40,GOBP,18,19,-0.10918003565062362
41,ppi,49,50,-0.29310451453308595
42,reactome_copathway,21,21,-0.3958333333333335
43,MP,13,6,-1.8624999999999998
44,HP,24,38,-0.39318053197509917
45,GI_net,17,21,-0.6234314671814671
46,gene_gene_on_CbG_name_mapped,25,14,0.04941391941391937
47,gene_gene_on_GcG_name_mapped,31,30,-0.5226423409130969
48,GOMF,3,4,
