,Layer,Cholecystitis nodes,Diarrhea nodes,sAB
0,coex_KDN,35,25,0.09333333333333349
1,coex_BST,34,11,0.01919191919191876
2,coex_OVR,31,7,-0.09124839124839124
3,coex_LNG,35,14,0.5137238647876949
4,coex_ITI,37,29,0.11632635770566813
5,coex_VGN,31,9,0.09342105263157885
6,coex_HRV,23,6,-0.40367965367965386
7,coex_MSG,37,15,-0.014241164241164173
8,coex_ADV,28,11,0.1364522417153995
9,coex_EMS,29,7,-0.3295019157088124
10,coex_SMU,29,8,-0.23007921714818247
11,coex_ARG,28,9,0.47533247533247547
12,coex_TST,39,18,0.05668016194331993
13,coex_PIT,35,10,0.16631016042780766
14,coex_LVR,38,13,0.24998015400492157
15,coex_THY,28,16,0.9407467532467528
16,coex_PNC,29,12,0.6323240818615083
17,coex_ATC,29,11,-0.1390692640692639
18,coex_BRO,33,14,0.13062888198757738
19,coex_SKN,33,7,0.33744588744588766
20,coex_ADS,24,5,0.0877616747181964
21,coex_GEJ,31,13,0.028861942655046047
22,coex_BRB,17,7,0.6480978260869565
23,coex_UTR,28,6,0.4866071428571428
24,coex_STM,32,16,0.359375
25,coex_HRA,33,8,-0.05866592756836653
26,coex_PRS,30,6,-0.2333333333333334
27,coex_ATA,25,6,0.3145114942528733
28,coex_FIB,28,7,-0.21785714285714253
29,coex_BRC,31,10,0.24909520062942558
30,coex_ATT,30,6,0.23083164300202874
31,coex_TNV,18,12,0.0588235294117645
32,coex_SPL,33,18,0.46895424836601296
33,coex_LCL,22,10,-0.04621212121212137
34,coex_CLS,36,23,0.5017991004497753
35,coex_EMC,30,15,0.3913964944438084
36,coex_CLT,36,23,0.3905869035179381
37,coex_core,34,17,0.3200371057513913
38,coex_WBL,28,16,0.5629058441558443
39,co-essential,10,4,1.583333333333333
40,GOBP,18,22,0.6194444444444445
41,ppi,50,49,-0.04057926200783357
42,reactome_copathway,16,18,-0.5025641025641028
43,MP,13,18,0.5340874811463046
44,HP,36,44,0.4306818181818184
45,GI_net,20,15,-0.19285714285714306
46,gene_gene_on_CbG_name_mapped,15,12,-0.251851851851852
47,gene_gene_on_GcG_name_mapped,30,30,-0.2333333333333334
48,GOMF,5,6,1.0
