,Layer,Renal_tubular_acidosis nodes,Adrenogenital_syndrome nodes,sAB
0,coex_KDN,42,33,0.16411255411255432
1,coex_BST,30,26,0.26646973715939204
2,coex_OVR,26,33,0.18294205794205776
3,coex_LNG,34,28,0.0352434077079109
4,coex_ITI,31,31,-0.2903225806451615
5,coex_VGN,29,30,-0.1722906403940887
6,coex_HRV,15,10,0.524561403508772
7,coex_MSG,36,33,0.0010430390865172612
8,coex_ADV,29,25,-0.024391273750879794
9,coex_EMS,29,24,0.0006099544567343962
10,coex_SMU,28,25,0.04863881401617243
11,coex_ARG,28,32,-0.16032943349753692
12,coex_TST,33,37,-0.12098982098982103
13,coex_PIT,35,32,-0.07888049450549439
14,coex_LVR,31,27,-0.1091617933723199
15,coex_THY,27,22,0.009574468085106425
16,coex_PNC,29,24,-0.2266184124918671
17,coex_ATC,29,29,-0.0862068965517242
18,coex_BRO,25,27,-0.006672113289760695
19,coex_SKN,31,33,0.027272727272727337
20,coex_ADS,20,20,0.6208748221906117
21,coex_GEJ,34,28,-0.152684122066298
22,coex_BRB,15,15,0.10000000000000009
23,coex_UTR,25,24,-0.22784013605442155
24,coex_STM,32,30,-0.19714381720430119
25,coex_HRA,33,31,0.017641129032258007
26,coex_PRS,29,25,-0.17279693486590042
27,coex_ATA,27,29,-0.17648902821316614
28,coex_FIB,28,24,0.07623626373626369
29,coex_BRC,33,27,0.025708176396735727
30,coex_ATT,29,31,-0.11374439898694755
31,coex_TNV,11,18,-0.19287330316742057
32,coex_SPL,35,25,0.3552380952380956
33,coex_LCL,25,24,0.0014068763490595604
34,coex_CLS,30,24,0.20144762524398185
35,coex_EMC,29,29,-0.1428571428571428
36,coex_CLT,29,28,-0.1941383631492526
37,coex_core,38,32,-0.036122311827957
38,coex_WBL,32,28,0.38467261904761907
39,co-essential,17,14,0.591217132014096
40,GOBP,32,31,0.828298804226919
41,ppi,49,49,0.2857142857142856
42,reactome_copathway,15,16,0.7776190476190474
43,MP,19,11,0.6948051948051948
44,HP,41,44,0.17135450632581195
45,GI_net,17,20,-0.10107313195548473
46,gene_gene_on_CbG_name_mapped,17,17,0.05882352941176494
47,gene_gene_on_GcG_name_mapped,34,28,-0.040680024286581684
48,GOMF,6,8,
