,Layer,Colon_cancer nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,44,37,-0.16293566293566286
1,coex_BST,34,30,-0.4605186902347145
2,coex_OVR,28,32,-0.3635476060298368
3,coex_LNG,39,34,-0.3771720490092769
4,coex_ITI,40,32,-0.28731258518855074
5,coex_VGN,40,32,-0.4552083333333332
6,coex_HRV,19,14,-0.9915674603174605
7,coex_MSG,41,34,-0.3456193208990912
8,coex_ADV,29,24,-0.4385301453047059
9,coex_EMS,34,24,-0.16836124401913866
10,coex_SMU,31,25,-0.4343108504398827
11,coex_ARG,29,28,-0.2948535130930776
12,coex_TST,39,29,-0.4445441306496074
13,coex_PIT,38,32,-0.34746295404696936
14,coex_LVR,38,32,-0.5657587165670139
15,coex_THY,32,28,-0.6703869047619047
16,coex_PNC,36,28,-0.11666666666666625
17,coex_ATC,36,32,-0.5842348976181708
18,coex_BRO,30,31,-0.13221399612198126
19,coex_SKN,38,31,-0.1785881252921926
20,coex_ADS,25,24,-1.1012755102040819
21,coex_GEJ,34,28,-0.20616883116883145
22,coex_BRB,21,20,-0.4865689865689862
23,coex_UTR,30,23,-0.35769230769230753
24,coex_STM,40,33,-0.32825861353258623
25,coex_HRA,32,28,-0.6301973684210527
26,coex_PRS,33,25,-0.5034273772204807
27,coex_ATA,34,27,-0.6882352941176468
28,coex_FIB,31,27,-0.3959677419354839
29,coex_BRC,34,28,-0.45845757657901864
30,coex_ATT,33,24,-0.46530032467532445
31,coex_TNV,18,17,-0.8027077497665731
32,coex_SPL,35,29,-0.2526939655172413
33,coex_LCL,28,18,-0.21930846930846926
34,coex_CLS,42,27,-0.40499194847020936
35,coex_EMC,38,30,-0.3634436709375086
36,coex_CLT,39,32,-0.0937734962406016
37,coex_core,40,33,-0.26006944444444446
38,coex_WBL,35,35,-0.3858161446396742
39,co-essential,19,12,-1.2191558441558439
40,GOBP,8,15,0.15277777777777768
41,ppi,49,50,0.04130282415996689
42,reactome_copathway,38,32,-0.25507610668900993
43,MP,16,12,-0.476223776223776
44,HP,34,37,-0.13594732840257118
45,GI_net,28,28,-0.3148148148148149
46,gene_gene_on_CbG_name_mapped,15,15,-0.06666666666666665
47,gene_gene_on_GcG_name_mapped,35,29,-0.25314039408866984
48,GOMF,2,2,
