,Layer,myoclonic_epilepsy nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,37,37,-0.44594594594594583
1,coex_BST,29,24,-0.19207875457875456
2,coex_OVR,26,21,0.20886287625418087
3,coex_LNG,34,25,0.05640079760717853
4,coex_ITI,35,35,-0.11712946047984407
5,coex_VGN,32,33,-0.016739510489510723
6,coex_HRV,13,16,0.12549734748010621
7,coex_MSG,33,32,0.0012820512820510555
8,coex_ADV,30,20,0.2416666666666667
9,coex_EMS,28,25,-0.1607681940700807
10,coex_SMU,29,20,-0.0689831104855736
11,coex_ARG,33,25,-0.15964472309299893
12,coex_TST,38,32,-0.15418233082706778
13,coex_PIT,36,35,-0.1679353901184888
14,coex_LVR,30,24,-0.10046296296296298
15,coex_THY,30,27,0.02994505494505484
16,coex_PNC,35,23,-0.20169201113728796
17,coex_ATC,30,29,-0.12178063510617565
18,coex_BRO,39,41,-0.2323694772590632
19,coex_SKN,30,31,-0.1166666666666667
20,coex_ADS,26,24,-0.1979841897233201
21,coex_GEJ,28,26,-0.08435185185185157
22,coex_BRB,27,34,-0.25330368941747916
23,coex_UTR,25,17,-0.1476750700280114
24,coex_STM,33,29,0.08715070617184062
25,coex_HRA,29,22,0.047636609502735405
26,coex_PRS,26,24,-0.30448717948717974
27,coex_ATA,31,27,-0.2659340659340659
28,coex_FIB,26,17,-0.09581043956043955
29,coex_BRC,38,37,-0.29039039039039016
30,coex_ATT,29,26,0.40168582375478934
31,coex_TNV,18,23,-0.28693181818181834
32,coex_SPL,31,24,-0.20145405669599215
33,coex_LCL,20,9,-0.007518796992481036
34,coex_CLS,34,35,-0.03930139219867046
35,coex_EMC,30,26,-0.08992673992673983
36,coex_CLT,30,37,-0.044729057415624496
37,coex_core,33,32,0.12192998533724353
38,coex_WBL,24,15,-0.13878205128205146
39,co-essential,8,9,-0.3125
40,GOBP,21,23,-0.22525252525252526
41,ppi,48,49,-0.18586068447997772
42,reactome_copathway,16,17,0.016573295985060632
43,MP,11,10,-0.006944444444444642
44,HP,43,35,-0.08707726382144987
45,GI_net,15,12,-0.25740740740740753
46,gene_gene_on_CbG_name_mapped,14,18,-0.1483134920634921
47,gene_gene_on_GcG_name_mapped,35,29,-0.20590650053124704
48,GOMF,7,3,
