,Layer,Pyelonephritis nodes,Periodontitis nodes,sAB
0,coex_KDN,40,37,0.060964912280701666
1,coex_BST,27,22,0.05091973244147141
2,coex_OVR,29,30,0.11031457955232904
3,coex_LNG,31,30,0.047479287854751195
4,coex_ITI,37,33,0.0503802503802504
5,coex_VGN,32,29,-0.06190476190476191
6,coex_HRV,24,20,-0.2655303030303027
7,coex_MSG,33,33,0.06060606060606033
8,coex_ADV,31,29,-0.1562622041708972
9,coex_EMS,25,25,4.440892098500626e-16
10,coex_SMU,25,24,0.04326086956521724
11,coex_ARG,25,26,-0.016561085972850886
12,coex_TST,30,29,-0.1541885836742647
13,coex_PIT,37,29,-0.12132508684232812
14,coex_LVR,36,32,0.02774434280211846
15,coex_THY,25,23,0.10687370600414114
16,coex_PNC,28,30,-0.17407407407407405
17,coex_ATC,31,29,-0.0517241379310347
18,coex_BRO,31,26,-0.11315354142179257
19,coex_SKN,28,27,0.0776815776815778
20,coex_ADS,23,25,-0.07739130434782648
21,coex_GEJ,29,28,0.07692307692307665
22,coex_BRB,22,21,-0.0525772676935472
23,coex_UTR,22,23,0.22175324675324637
24,coex_STM,31,33,-0.02831744868035191
25,coex_HRA,27,27,-0.3475783475783474
26,coex_PRS,24,28,-0.013137863841188313
27,coex_ATA,30,21,-0.040000000000000036
28,coex_FIB,22,22,-0.15909090909090895
29,coex_BRC,25,26,0.06033182503770762
30,coex_ATT,28,25,0.04124040920716121
31,coex_TNV,19,17,-0.27828947368421053
32,coex_SPL,29,33,-0.2348400579768768
33,coex_LCL,18,17,0.16593137254901968
34,coex_CLS,33,25,-0.1813808715336731
35,coex_EMC,30,28,0.20853858784893253
36,coex_CLT,33,24,0.01744417862838943
37,coex_core,38,32,-0.1728110599078343
38,coex_WBL,29,32,0.18392857142857122
39,co-essential,5,15,0.7241228070175438
40,GOBP,12,17,0.27272727272727293
41,ppi,50,49,0.031568748711605865
42,reactome_copathway,15,28,-0.2229729729729728
43,MP,15,11,0.15802675585284298
44,HP,16,29,0.34645593869731806
45,GI_net,27,22,-0.23685897435897418
46,gene_gene_on_CbG_name_mapped,14,17,0.14489021415017622
47,gene_gene_on_GcG_name_mapped,32,31,-0.2859623015873016
48,GOMF,1,1,
