,Layer,Dysuria nodes,Facial_paralysis nodes,sAB
0,coex_KDN,32,42,0.016235800200467887
1,coex_BST,23,30,-0.1210691823899368
2,coex_OVR,24,32,-0.20386904761904745
3,coex_LNG,25,37,-0.16495204882301673
4,coex_ITI,26,37,0.03392403392403409
5,coex_VGN,29,36,-0.20123152709359626
6,coex_HRV,11,19,-0.14184952978056442
7,coex_MSG,26,37,-0.21506946506946512
8,coex_ADV,19,34,-0.07253636310532174
9,coex_EMS,24,37,-0.0972222222222221
10,coex_SMU,22,34,0.02425515660809774
11,coex_ARG,22,28,-0.17357142857142893
12,coex_TST,33,39,-0.04040404040404044
13,coex_PIT,36,36,0.09781466577241216
14,coex_LVR,23,36,0.0023642839597151077
15,coex_THY,21,34,0.3040865384615383
16,coex_PNC,24,31,-0.24490740740740735
17,coex_ATC,25,40,-0.0825109649122806
18,coex_BRO,32,35,-0.019815668202765035
19,coex_SKN,26,38,-0.12373481781376494
20,coex_ADS,21,32,-0.3509094427244581
21,coex_GEJ,22,32,-0.31928661616161635
22,coex_BRB,24,28,-0.12159586056644889
23,coex_UTR,19,27,-0.2735042735042734
24,coex_STM,27,37,0.2495151401401401
25,coex_HRA,21,29,0.04479474548440043
26,coex_PRS,25,38,-0.18462074978204046
27,coex_ATA,22,36,-0.014202172096908772
28,coex_FIB,19,29,0.2096944948578343
29,coex_BRC,23,34,-0.11725955204216065
30,coex_ATT,22,41,-0.21907225565762145
31,coex_TNV,19,19,-0.2777777777777777
32,coex_SPL,23,35,-0.347376311844078
33,coex_LCL,13,21,0.04826546003016574
34,coex_CLS,26,37,0.18503118503118499
35,coex_EMC,25,32,-0.0821428571428573
36,coex_CLT,28,34,-0.18236649498509094
37,coex_core,27,39,-0.1692307692307693
38,coex_WBL,23,33,-0.3013363448146056
39,co-essential,6,4,-0.04166666666666696
40,GOBP,21,19,0.21226489647542257
41,ppi,48,50,-0.07278911564625834
42,reactome_copathway,10,16,-0.27976190476190466
43,MP,20,16,0.5220846233230132
44,HP,43,42,0.4756840342489803
45,GI_net,19,21,-0.12464985994397759
46,gene_gene_on_CbG_name_mapped,9,8,-0.5261437908496731
47,gene_gene_on_GcG_name_mapped,31,33,-0.11493462854349934
48,GOMF,3,10,
