,Layer,Ascites nodes,Keratitis nodes,sAB
0,coex_KDN,44,34,-0.060064935064935154
1,coex_BST,34,25,0.06246334310850443
2,coex_OVR,29,38,0.10399680364059916
3,coex_LNG,32,31,-0.014348118279569722
4,coex_ITI,37,29,-0.07530442530442549
5,coex_VGN,32,38,-0.042463276002066896
6,coex_HRV,15,17,0.24343185550082103
7,coex_MSG,39,41,-0.001352407754846574
8,coex_ADV,28,29,0.01648629148629155
9,coex_EMS,31,32,0.1133400537634408
10,coex_SMU,27,26,-0.18828952319518355
11,coex_ARG,26,26,-0.11538461538461542
12,coex_TST,39,34,-0.17238992541168208
13,coex_PIT,34,33,-0.1515151515151516
14,coex_LVR,31,32,0.11118311571940587
15,coex_THY,30,24,-0.20766916070266772
16,coex_PNC,33,31,0.11290322580645151
17,coex_ATC,35,27,-0.12474328949738789
18,coex_BRO,28,33,0.05769230769230771
19,coex_SKN,35,39,0.266884466884467
20,coex_ADS,23,28,0.8237833594976451
21,coex_GEJ,29,36,0.06614353079870305
22,coex_BRB,20,22,0.21944444444444455
23,coex_UTR,26,26,-0.039773755656108634
24,coex_STM,38,28,-0.10620300751879697
25,coex_HRA,29,25,0.2039080459770113
26,coex_PRS,29,30,-0.10437732261688693
27,coex_ATA,28,25,-0.21215633423180602
28,coex_FIB,28,21,-0.04676870748299322
29,coex_BRC,28,30,-0.1692118226600985
30,coex_ATT,30,26,-0.2084157222088252
31,coex_TNV,13,18,0.5595874713521769
32,coex_SPL,37,30,0.04974747474747465
33,coex_LCL,29,20,-0.016071428571428736
34,coex_CLS,29,29,-0.3793103448275861
35,coex_EMC,38,35,-0.01388888888888884
36,coex_CLT,32,31,-0.13232794439827744
37,coex_core,38,41,0.31568917095232885
38,coex_WBL,33,28,0.1865641189411682
39,co-essential,10,9,-0.38888888888888884
40,GOBP,29,18,0.6148148148148151
41,ppi,49,50,-0.0007771593485881301
42,reactome_copathway,18,27,0.13461538461538458
43,MP,12,18,1.682554713804714
44,HP,43,47,0.39031082722324695
45,GI_net,23,26,-0.07007575757575735
46,gene_gene_on_CbG_name_mapped,10,8,0.05277777777777759
47,gene_gene_on_GcG_name_mapped,32,25,-0.16887061403508774
48,GOMF,4,6,
