,Layer,Pyelonephritis nodes,Gingival_disorder nodes,sAB
0,coex_KDN,40,40,-0.1625000000000001
1,coex_BST,27,21,0.03896321070234121
2,coex_OVR,29,34,-0.12780567286270061
3,coex_LNG,31,36,-0.22372573662896222
4,coex_ITI,37,38,0.1318065433854907
5,coex_VGN,32,32,-0.2152217741935485
6,coex_HRV,24,20,-0.13371212121212128
7,coex_MSG,33,35,-0.0013750954927427284
8,coex_ADV,31,36,-0.28932978983382185
9,coex_EMS,25,30,-0.39281067013662985
10,coex_SMU,25,32,-0.09673245614035086
11,coex_ARG,25,30,-0.09484848484848474
12,coex_TST,30,33,0.02893217893217903
13,coex_PIT,37,34,-0.13852750845294337
14,coex_LVR,36,40,-0.16064102564102578
15,coex_THY,25,33,-0.03680921052631625
16,coex_PNC,28,30,-0.2714424951267058
17,coex_ATC,31,29,-0.13471654003506717
18,coex_BRO,31,28,-0.13632547059282984
19,coex_SKN,28,35,-0.07644348061805362
20,coex_ADS,23,27,-0.24172411439492203
21,coex_GEJ,29,28,-0.24999999999999956
22,coex_BRB,22,22,-0.2727272727272727
23,coex_UTR,22,29,0.10389610389610393
24,coex_STM,31,36,0.050874658963248054
25,coex_HRA,27,27,-0.3072757082191042
26,coex_PRS,24,34,-0.14230268766545473
27,coex_ATA,30,29,-0.18780788177339858
28,coex_FIB,22,27,-0.203428846285989
29,coex_BRC,25,30,0.1775223499361429
30,coex_ATT,28,30,0.0011343012704174704
31,coex_TNV,19,21,0.4258771929824565
32,coex_SPL,29,43,-0.2569165998396148
33,coex_LCL,18,23,-0.29103249691484967
34,coex_CLS,33,31,-0.09336917562724012
35,coex_EMC,30,32,0.04317876344086047
36,coex_CLT,33,35,0.10351413292589773
37,coex_core,38,38,-0.13869132290184916
38,coex_WBL,29,35,0.06510538641686181
39,co-essential,5,14,0.3789682539682535
40,GOBP,12,18,0.3656391501219085
41,ppi,50,49,-0.10005359719645424
42,reactome_copathway,15,26,-0.5594629156010229
43,MP,15,12,-0.6571906354515056
44,HP,16,46,0.06399018232819076
45,GI_net,27,23,-0.2021367521367523
46,gene_gene_on_CbG_name_mapped,14,8,-0.11120129870129869
47,gene_gene_on_GcG_name_mapped,32,25,-0.3352521929824561
48,GOMF,1,3,
