,Layer,Urinary_bladder_inflammation nodes,Cholangitis nodes,sAB
0,coex_KDN,35,38,-0.49997854997854985
1,coex_BST,18,20,-0.1717105263157892
2,coex_OVR,25,25,-0.3799999999999999
3,coex_LNG,27,29,-0.4908008658008658
4,coex_ITI,33,36,-0.31993851559068953
5,coex_VGN,26,27,-0.1323308068591087
6,coex_HRV,17,22,-0.2965011961722488
7,coex_MSG,27,32,-0.4288586785938482
8,coex_ADV,21,25,-0.6507936507936511
9,coex_EMS,21,22,-0.7380952380952381
10,coex_SMU,19,26,-0.3877990430622007
11,coex_ARG,24,21,-0.39384920634920606
12,coex_TST,26,31,-0.21341038700970794
13,coex_PIT,30,29,-0.10867446393762159
14,coex_LVR,24,30,-0.4529122231337164
15,coex_THY,22,26,-0.3509615384615383
16,coex_PNC,22,26,-0.23441142191142195
17,coex_ATC,29,25,-0.5972985347985347
18,coex_BRO,31,26,-0.3677462887989207
19,coex_SKN,26,26,-0.38722473604826546
20,coex_ADS,23,27,-0.09586247086247068
21,coex_GEJ,19,28,-0.7227981570086832
22,coex_BRB,22,22,-0.13636363636363624
23,coex_UTR,18,17,-0.2744540998217473
24,coex_STM,25,31,-0.3726958525345623
25,coex_HRA,19,23,-0.18851476517380394
26,coex_PRS,19,25,-0.26091391268869835
27,coex_ATA,27,21,-0.2743161094224926
28,coex_FIB,16,18,-0.11853832442067702
29,coex_BRC,24,28,-0.52109500805153
30,coex_ATT,22,22,-0.5245847176079734
31,coex_TNV,17,17,-0.51849376114082
32,coex_SPL,27,33,-0.9601010101010099
33,coex_LCL,15,14,-0.4151888341543517
34,coex_CLS,24,31,-0.3949074074074075
35,coex_EMC,24,24,-0.662850755473327
36,coex_CLT,31,30,-0.39366296492155817
37,coex_core,29,35,-0.06826523712933441
38,coex_WBL,24,26,-0.28482993197278894
39,co-essential,10,9,-1.0456140350877194
40,GOBP,5,21,0.026942355889723935
41,ppi,50,48,-0.2259268707482991
42,reactome_copathway,26,23,0.2727272727272727
43,MP,7,11,-0.49453781512605044
44,HP,25,33,-0.13065830721003135
45,GI_net,22,22,-0.5586680761099365
46,gene_gene_on_CbG_name_mapped,19,14,-0.2730120756436545
47,gene_gene_on_GcG_name_mapped,31,28,-0.4092400218698742
48,GOMF,3,4,
