,Layer,Colonic_neoplasm nodes,Rectal_neoplasm nodes,sAB
0,coex_KDN,33,45,-0.36045066045066054
1,coex_BST,20,42,-0.3698924731182798
2,coex_OVR,17,38,-0.7622572473965665
3,coex_LNG,28,42,-0.3242466068553025
4,coex_ITI,28,44,-0.28120490620490624
5,coex_VGN,23,42,-0.3785475394171045
6,coex_HRV,15,17,-0.11176470588235299
7,coex_MSG,28,45,-0.39148727984344434
8,coex_ADV,18,38,-0.42115705931495406
9,coex_EMS,22,41,-0.05965579136310839
10,coex_SMU,17,38,-0.49801390268123114
11,coex_ARG,19,38,-0.6184210526315792
12,coex_TST,24,43,-0.39114746037255577
13,coex_PIT,25,41,-0.1469876723223753
14,coex_LVR,26,39,-0.569230769230769
15,coex_THY,20,36,-0.9039682539682539
16,coex_PNC,21,39,-0.680952380952381
17,coex_ATC,26,42,-0.3210820895522388
18,coex_BRO,21,39,-0.21941391941391952
19,coex_SKN,23,45,-0.5337027564649046
20,coex_ADS,17,32,-0.7242647058823533
21,coex_GEJ,24,37,-0.43213866039952986
22,coex_BRB,16,24,-0.2185758082497209
23,coex_UTR,16,38,-0.4195297270955163
24,coex_STM,27,43,-0.4630121816168329
25,coex_HRA,19,38,-0.4849624060150375
26,coex_PRS,20,44,-0.28277132224500634
27,coex_ATA,20,37,-0.826517306780465
28,coex_FIB,20,41,-0.3782287085165934
29,coex_BRC,20,39,-0.3785745328118211
30,coex_ATT,18,37,-0.19223291687914346
31,coex_TNV,15,17,-0.8659528327460015
32,coex_SPL,22,41,-0.3685988807940026
33,coex_LCL,16,35,-0.4963235294117647
34,coex_CLS,32,43,-0.4964050387596899
35,coex_EMC,25,42,-0.2502707437490048
36,coex_CLT,26,44,-0.1868774703557312
37,coex_core,24,44,-0.42289540440092055
38,coex_WBL,28,41,-0.4855451194263496
39,co-essential,13,22,-0.8980392156862744
40,GOBP,9,14,1.8547570850202426
41,ppi,50,48,-0.05717687074829936
42,reactome_copathway,28,37,0.09322344322344334
43,MP,17,15,-0.06363513147194366
44,HP,21,42,-0.35317460317460325
45,GI_net,26,37,-0.21388971388971378
46,gene_gene_on_CbG_name_mapped,22,14,0.0032467532467532756
47,gene_gene_on_GcG_name_mapped,30,35,-0.25164835164835164
48,GOMF,3,5,
