,Layer,Chorea nodes,Orchitis nodes,sAB
0,coex_KDN,41,30,0.11477728157563272
1,coex_BST,35,21,0.1182461873638343
2,coex_OVR,37,20,0.013961038961038952
3,coex_LNG,39,30,0.24052396878483817
4,coex_ITI,42,27,0.05244996549344361
5,coex_VGN,40,24,0.12291666666666679
6,coex_HRV,16,11,0.5958543771043772
7,coex_MSG,41,28,-0.05969423824673026
8,coex_ADV,31,22,0.15291375291375342
9,coex_EMS,36,20,-0.09484126984126995
10,coex_SMU,35,20,-0.005519480519480702
11,coex_ARG,37,17,0.18256491785903517
12,coex_TST,43,30,0.11620473611553561
13,coex_PIT,41,26,-0.02331214471731391
14,coex_LVR,33,24,-0.09280303030303028
15,coex_THY,32,23,0.5443873045556074
16,coex_PNC,37,20,0.04033902323376015
17,coex_ATC,35,26,0.14441542064492863
18,coex_BRO,42,25,0.42093105899076066
19,coex_SKN,39,23,0.1902398676592223
20,coex_ADS,30,23,-0.010844155844155878
21,coex_GEJ,40,19,0.215366001209921
22,coex_BRB,26,16,0.24118589743589736
23,coex_UTR,30,15,-0.001948051948051699
24,coex_STM,39,29,0.1706259988623131
25,coex_HRA,40,20,0.12499999999999978
26,coex_PRS,34,22,0.07820855614973254
27,coex_ATA,30,25,0.13303030303030283
28,coex_FIB,33,20,-0.20520297312750158
29,coex_BRC,43,20,0.17198228128460702
30,coex_ATT,34,25,0.2200598205383848
31,coex_TNV,16,15,-0.49052419354838683
32,coex_SPL,36,28,-0.00992063492063533
33,coex_LCL,26,14,-0.18066801619433193
34,coex_CLS,35,25,0.1647619047619049
35,coex_EMC,39,28,-0.027454027454027585
36,coex_CLT,38,25,0.1756292906178487
37,coex_core,41,30,0.16527539219054166
38,coex_WBL,36,25,0.004408014571948948
39,co-essential,11,5,0.5750000000000002
40,GOBP,20,14,1.4223856209150325
41,ppi,49,49,0.3163265306122449
42,reactome_copathway,18,22,0.41828007518796984
43,MP,12,17,2.0398148148148145
44,HP,42,35,1.1316017316017315
45,GI_net,20,20,0.29644945697577274
46,gene_gene_on_CbG_name_mapped,12,8,0.02083333333333348
47,gene_gene_on_GcG_name_mapped,39,26,0.06282051282051304
48,GOMF,3,6,
