,Layer,Gingival_disorder nodes,Meningitis nodes,sAB
0,coex_KDN,40,30,-0.06785714285714284
1,coex_BST,21,14,0.045804195804195924
2,coex_OVR,34,20,-0.36045751633986933
3,coex_LNG,36,25,-0.2847619047619052
4,coex_ITI,38,28,-0.08208020050125309
5,coex_VGN,32,22,-0.15786444294698998
6,coex_HRV,20,16,-0.5380952380952382
7,coex_MSG,35,23,-0.16648104519168982
8,coex_ADV,36,18,-0.3186617304264363
9,coex_EMS,30,17,-0.5913219860657908
10,coex_SMU,32,17,-0.20869597839135645
11,coex_ARG,30,15,-0.23888888888888893
12,coex_TST,33,22,0.01060606060606073
13,coex_PIT,34,23,-0.22856373670749752
14,coex_LVR,40,24,-0.24885531135531136
15,coex_THY,33,28,-0.23288690476190443
16,coex_PNC,30,19,-0.1656820622986035
17,coex_ATC,29,24,-0.22146768596833644
18,coex_BRO,28,22,-0.02850649350649337
19,coex_SKN,35,18,-0.1670437405731522
20,coex_ADS,27,17,-0.3108974358974357
21,coex_GEJ,28,21,-0.6346153846153846
22,coex_BRB,22,19,-0.2952794958571594
23,coex_UTR,29,15,0.08333333333333348
24,coex_STM,36,23,-0.17710636207320096
25,coex_HRA,27,17,-0.36051894918174
26,coex_PRS,34,19,-0.29654185408026135
27,coex_ATA,29,20,-0.367261904761905
28,coex_FIB,27,13,0.12122507122507109
29,coex_BRC,30,15,-0.005642633228839955
30,coex_ATT,30,20,-0.3034306826178752
31,coex_TNV,21,13,-0.3898944193061844
32,coex_SPL,43,32,-0.27611918604651153
33,coex_LCL,23,15,-0.13356643356643372
34,coex_CLS,31,22,-0.31837376460017963
35,coex_EMC,32,28,-0.23854166666666665
36,coex_CLT,35,27,-0.35523809523809513
37,coex_core,38,32,0.01820899240254059
38,coex_WBL,35,32,-0.06267170329670346
39,co-essential,14,0,
40,GOBP,18,22,0.7489139515455303
41,ppi,49,50,-0.10166975881261586
42,reactome_copathway,26,21,-0.15493443754313319
43,MP,12,15,-0.1428571428571428
44,HP,46,47,-0.09784349417604177
45,GI_net,23,21,-0.6843495934959349
46,gene_gene_on_CbG_name_mapped,8,8,-0.0625
47,gene_gene_on_GcG_name_mapped,25,23,-0.20199275362318847
48,GOMF,3,7,-0.8
