,Layer,Gingivostomatitis nodes,Goiter nodes,sAB
0,coex_KDN,33,34,0.014519647750552034
1,coex_BST,11,19,0.09092558983666033
2,coex_OVR,16,27,0.07663113695090429
3,coex_LNG,36,27,0.9034391534391535
4,coex_ITI,27,26,0.16811804547653608
5,coex_VGN,17,26,0.2873566242239294
6,coex_HRV,21,11,1.2444700460829492
7,coex_MSG,34,31,0.4363012698876074
8,coex_ADV,27,19,1.3239541160593795
9,coex_EMS,16,20,-0.04146730462519921
10,coex_SMU,13,19,0.2624504810413133
11,coex_ARG,12,20,0.001556310130164107
12,coex_TST,19,22,0.13995215311004783
13,coex_PIT,21,29,0.11268472906403959
14,coex_LVR,36,22,0.4328195750609545
15,coex_THY,17,29,0.12558426669018452
16,coex_PNC,19,20,0.3404183535762484
17,coex_ATC,27,24,0.6032051282051283
18,coex_BRO,23,23,0.25722441809398333
19,coex_SKN,18,21,-0.025311025311025137
20,coex_ADS,20,17,0.6347222222222224
21,coex_GEJ,32,23,0.6251403863432166
22,coex_BRB,21,14,0.47183622828784166
23,coex_UTR,10,19,-0.433847549909256
24,coex_STM,32,25,0.7850657894736841
25,coex_HRA,20,18,0.5
26,coex_PRS,17,20,-0.033823529411764586
27,coex_ATA,27,19,0.5567844732604459
28,coex_FIB,13,23,0.10767372723894475
29,coex_BRC,17,23,0.36696146990264644
30,coex_ATT,19,20,0.11848739495798277
31,coex_TNV,12,10,0.1625000000000001
32,coex_SPL,34,28,0.33003523990241224
33,coex_LCL,14,22,0.6908866995073892
34,coex_CLS,24,22,0.09364371725342391
35,coex_EMC,29,21,0.38932676518883413
36,coex_CLT,24,26,0.1891941391941392
37,coex_core,36,28,0.9928571428571427
38,coex_WBL,35,21,0.18690476190476168
39,co-essential,5,11,-0.002272727272726982
40,GOBP,12,16,0.5456349206349205
41,ppi,50,42,0.2969151138716357
42,reactome_copathway,28,10,0.7023809523809526
43,MP,11,13,2.1468531468531467
44,HP,23,48,0.3773093696312939
45,GI_net,24,20,-0.02342813555628198
46,gene_gene_on_CbG_name_mapped,22,16,0.57805023923445
47,gene_gene_on_GcG_name_mapped,27,22,-0.10097574383288666
48,GOMF,4,2,
