,Layer,Retinoblastoma nodes,Colon_cancer nodes,sAB
0,coex_KDN,45,44,-0.16813074565883568
1,coex_BST,42,34,-0.6901444788441689
2,coex_OVR,37,28,-0.714493614493614
3,coex_LNG,40,39,-0.44320431678026617
4,coex_ITI,43,40,-0.31461894087979836
5,coex_VGN,38,40,-0.27801956815114726
6,coex_HRV,17,19,-0.856956115779645
7,coex_MSG,42,41,-0.32568951765249166
8,coex_ADV,33,29,-0.5691863340870549
9,coex_EMS,39,34,-0.33916083916083917
10,coex_SMU,36,31,-0.46285374204247565
11,coex_ARG,37,29,-0.4310062413510689
12,coex_TST,45,39,-0.3286324786324786
13,coex_PIT,38,38,-0.39416390074284813
14,coex_LVR,36,38,-0.48289078552236453
15,coex_THY,36,32,-0.7705269607843142
16,coex_PNC,37,36,-0.418843843843844
17,coex_ATC,43,36,-0.46189668174962306
18,coex_BRO,36,30,-0.3878787878787877
19,coex_SKN,38,38,-0.38157894736842124
20,coex_ADS,33,25,-1.1838815789473685
21,coex_GEJ,33,34,-0.36363636363636376
22,coex_BRB,21,21,-0.32097069597069594
23,coex_UTR,39,30,-0.47196209587513915
24,coex_STM,41,40,-0.44579193014152363
25,coex_HRA,37,32,-0.6468003329416372
26,coex_PRS,36,33,-0.5417215634606938
27,coex_ATA,37,34,-0.5735527544351076
28,coex_FIB,37,31,-0.38423474027710913
29,coex_BRC,41,34,-0.21125777140124335
30,coex_ATT,38,33,-0.501527255639098
31,coex_TNV,19,18,-1.1993464052287583
32,coex_SPL,40,35,-0.4933333333333334
33,coex_LCL,37,28,-0.4352953205412222
34,coex_CLS,38,42,-0.39736842105263137
35,coex_EMC,39,38,-0.3391389312441946
36,coex_CLT,39,39,-0.11529260213470738
37,coex_core,43,40,-0.3278964695993274
38,coex_WBL,39,35,-0.5066132066132065
39,co-essential,23,19,-0.6047297297297298
40,GOBP,5,8,-1.0595238095238102
41,ppi,50,49,-0.05011131725417428
42,reactome_copathway,34,38,-0.1590781767252354
43,MP,9,16,-0.7833333333333332
44,HP,37,34,-0.4019607843137255
45,GI_net,38,28,-0.45039682539682535
46,gene_gene_on_CbG_name_mapped,12,15,-0.312037037037037
47,gene_gene_on_GcG_name_mapped,33,35,-0.19087089381207045
48,GOMF,3,2,
