,Layer,Heartburn nodes,Dyssomnia nodes,sAB
0,coex_KDN,41,41,-0.24390243902439024
1,coex_BST,16,34,-0.1883088235294117
2,coex_OVR,24,34,-0.28236984448951974
3,coex_LNG,29,37,0.013097713097713015
4,coex_ITI,38,38,-0.10526315789473695
5,coex_VGN,39,36,-0.2718376068376067
6,coex_HRV,15,12,-0.18040293040293065
7,coex_MSG,35,37,-0.15527670527670545
8,coex_ADV,22,31,0.021136501964256205
9,coex_EMS,27,37,-0.3021164021164022
10,coex_SMU,25,33,-0.35107628004179703
11,coex_ARG,29,33,-0.2332339791356186
12,coex_TST,40,40,-0.125
13,coex_PIT,35,38,-0.30474045474045486
14,coex_LVR,28,33,-0.36451458377687884
15,coex_THY,23,24,-0.2701745718050068
16,coex_PNC,30,34,-0.2475127982227372
17,coex_ATC,27,37,-0.46595221595221625
18,coex_BRO,35,36,-0.056159177285938
19,coex_SKN,29,36,-0.304170350722075
20,coex_ADS,25,23,-0.2198506807202456
21,coex_GEJ,23,35,-0.4190476190476191
22,coex_BRB,24,19,-0.2232142857142856
23,coex_UTR,22,30,-0.38833333333333364
24,coex_STM,35,39,-0.2658667215985169
25,coex_HRA,24,34,-0.36295638945233266
26,coex_PRS,30,35,-0.19267399267399288
27,coex_ATA,25,32,-0.33110119047619024
28,coex_FIB,24,32,-0.2188982213438737
29,coex_BRC,34,39,-0.08907208826628654
30,coex_ATT,28,37,-0.4392204704704703
31,coex_TNV,21,17,0.31263910969793285
32,coex_SPL,30,39,-0.1537904124860645
33,coex_LCL,14,24,-0.520833333333333
34,coex_CLS,30,38,-0.2969556243550051
35,coex_EMC,35,37,-0.19625697125697128
36,coex_CLT,39,38,-0.11615577405051103
37,coex_core,36,39,-0.11371151371151367
38,coex_WBL,25,33,-0.2152560083594568
39,co-essential,6,6,0.15303030303030285
40,GOBP,13,15,-0.2585714285714289
41,ppi,50,50,-0.10999999999999988
42,reactome_copathway,20,15,-0.0023521505376344898
43,MP,12,11,-0.18253968253968278
44,HP,48,42,0.07658730158730154
45,GI_net,18,21,-0.2090964590964588
46,gene_gene_on_CbG_name_mapped,8,6,-0.2619047619047614
47,gene_gene_on_GcG_name_mapped,34,32,-0.19449086452762931
48,GOMF,4,6,
