,Layer,Cholecystitis nodes,Narcolepsy nodes,sAB
0,coex_KDN,35,31,-0.26637341153470206
1,coex_BST,34,19,-0.040714995034756285
2,coex_OVR,31,19,0.11249999999999982
3,coex_LNG,35,24,0.052830940988835895
4,coex_ITI,37,26,0.2297627297627296
5,coex_VGN,31,22,0.06153846153846154
6,coex_HRV,23,12,-0.07174688057041001
7,coex_MSG,37,22,-0.14261025277974437
8,coex_ADV,28,18,0.18795801148742353
9,coex_EMS,29,21,-0.0568261787473614
10,coex_SMU,29,21,0.09037766830870297
11,coex_ARG,28,22,0.30506493506493504
12,coex_TST,39,28,-0.08037422776228742
13,coex_PIT,35,26,0.023303167420814397
14,coex_LVR,38,22,0.11491228070175441
15,coex_THY,28,22,0.2746103896103893
16,coex_PNC,29,19,-0.033272837265577504
17,coex_ATC,29,22,0.07668831168831192
18,coex_BRO,33,32,0.09375
19,coex_SKN,33,24,-0.07878787878787863
20,coex_ADS,24,17,-0.13849104859335037
21,coex_GEJ,31,20,0.09081972171808816
22,coex_BRB,17,22,-0.041417464114832825
23,coex_UTR,28,18,-0.04652194211017768
24,coex_STM,32,24,0.051988636363636154
25,coex_HRA,33,20,0.1344196683819323
26,coex_PRS,30,25,0.006060606060606322
27,coex_ATA,25,21,-0.00535714285714306
28,coex_FIB,28,16,-0.2780032467532467
29,coex_BRC,31,25,0.013184261974584777
30,coex_ATT,30,22,0.09526741731175248
31,coex_TNV,18,13,0.19728506787330335
32,coex_SPL,33,23,0.4345238095238093
33,coex_LCL,22,14,0.24160839160839176
34,coex_CLS,36,25,0.0728107344632769
35,coex_EMC,30,22,0.1890866064294059
36,coex_CLT,36,22,0.031652734238941216
37,coex_core,34,27,0.21002726087471868
38,coex_WBL,28,23,0.3037012987012986
39,co-essential,10,9,-0.7757352941176472
40,GOBP,18,22,0.8984877734877736
41,ppi,50,49,0.1620593692022263
42,reactome_copathway,16,18,0.33061840120663666
43,MP,13,12,0.8895687645687649
44,HP,36,28,0.7410714285714286
45,GI_net,20,17,0.030683624801271847
46,gene_gene_on_CbG_name_mapped,15,11,-0.2041958041958043
47,gene_gene_on_GcG_name_mapped,30,26,-0.048626373626373454
48,GOMF,5,12,
