,Layer,Dermatitis nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,32,33,-0.055988455988456254
1,coex_BST,15,27,-0.14330831769856145
2,coex_OVR,23,20,0.19188574317492435
3,coex_LNG,28,29,0.40759585242343865
4,coex_ITI,22,29,0.25626959247648906
5,coex_VGN,23,25,0.2930797101449276
6,coex_HRV,22,9,0.0429118773946362
7,coex_MSG,27,29,0.2892492245940521
8,coex_ADV,22,19,-0.156207827260459
9,coex_EMS,19,19,-0.1944444444444442
10,coex_SMU,20,21,-0.0628378378378378
11,coex_ARG,15,20,0.09404761904761916
12,coex_TST,26,31,-0.018341013824884733
13,coex_PIT,19,30,0.048424633011099116
14,coex_LVR,27,18,0.038888888888889195
15,coex_THY,21,20,0.03286875725900096
16,coex_PNC,17,19,-0.28123249299719877
17,coex_ATC,20,21,0.058270676691729584
18,coex_BRO,22,30,-0.045454545454545414
19,coex_SKN,24,20,-0.054170879676441075
20,coex_ADS,24,20,0.27881476948184414
21,coex_GEJ,22,17,-0.12361111111111134
22,coex_BRB,18,22,0.14468864468864462
23,coex_UTR,11,20,0.28333333333333277
24,coex_STM,21,21,0.26190476190476186
25,coex_HRA,17,18,0.20317460317460334
26,coex_PRS,19,28,-0.022713789304178444
27,coex_ATA,14,19,-0.3427887901572113
28,coex_FIB,14,19,0.14610389610389607
29,coex_BRC,19,31,0.08896569380440322
30,coex_ATT,21,20,-0.07506265664160416
31,coex_TNV,19,17,0.5220588235294117
32,coex_SPL,26,21,-0.20309364548494968
33,coex_LCL,11,16,0.12428571428571455
34,coex_CLS,20,25,0.48663810689514486
35,coex_EMC,26,21,0.14459627329192548
36,coex_CLT,23,27,0.015391440857279282
37,coex_core,30,24,0.2607021069297284
38,coex_WBL,26,22,0.1150339022679443
39,co-essential,7,8,0.6126373626373622
40,GOBP,19,26,0.892366092778575
41,ppi,50,50,0.18999999999999995
42,reactome_copathway,31,18,0.13361018826135096
43,MP,13,24,0.6517238392238394
44,HP,29,49,0.5304408235442717
45,GI_net,23,17,-0.015873015873015817
46,gene_gene_on_CbG_name_mapped,18,10,0.1333333333333333
47,gene_gene_on_GcG_name_mapped,22,37,0.02804730770832453
48,GOMF,8,4,
