,Layer,Acute_febrile_mucocutaneous_lymph_node_syndrome nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,34,33,0.025860004788889945
1,coex_BST,16,27,-0.08722527472527464
2,coex_OVR,24,20,0.12462121212121202
3,coex_LNG,34,29,0.11305901671013219
4,coex_ITI,32,29,-0.03792750141322787
5,coex_VGN,29,25,0.19053908355795146
6,coex_HRV,27,9,-0.2407407407407407
7,coex_MSG,32,29,0.3221187817976259
8,coex_ADV,28,19,-0.13009918413053922
9,coex_EMS,22,19,0.26617826617826656
10,coex_SMU,26,21,0.0329431438127088
11,coex_ARG,20,20,0.30000000000000027
12,coex_TST,33,31,-0.035862658846529616
13,coex_PIT,31,30,0.079631588224925
14,coex_LVR,31,18,0.01494038475605275
15,coex_THY,26,20,-0.26438127090301
16,coex_PNC,24,19,-0.2023809523809521
17,coex_ATC,32,21,0.38245451482479775
18,coex_BRO,33,30,0.2732160312805476
19,coex_SKN,28,20,0.08095238095238066
20,coex_ADS,28,20,0.16333386658134685
21,coex_GEJ,26,17,0.125
22,coex_BRB,25,22,0.2636853002070394
23,coex_UTR,20,20,0.10000000000000009
24,coex_STM,30,21,0.031232492997198325
25,coex_HRA,26,18,0.12103174603174605
26,coex_PRS,24,28,-0.03812636165577343
27,coex_ATA,28,19,0.0946248600223969
28,coex_FIB,23,19,0.1801242236024847
29,coex_BRC,25,31,0.004838709677419395
30,coex_ATT,26,20,0.03379953379953404
31,coex_TNV,24,17,0.33347268673355623
32,coex_SPL,34,21,-0.21290849673202605
33,coex_LCL,18,16,0.2281746031746028
34,coex_CLS,28,25,-0.022331154684095633
35,coex_EMC,32,21,0.5442219071251329
36,coex_CLT,30,27,0.09203296703296715
37,coex_core,34,24,0.08935629587803495
38,coex_WBL,31,22,-0.01471109535625681
39,co-essential,5,8,-0.8476190476190477
40,GOBP,16,26,0.6590003465003464
41,ppi,50,50,0.1399999999999999
42,reactome_copathway,15,18,0.11282051282051242
43,MP,12,24,1.5575980392156867
44,HP,22,49,0.46853850374977135
45,GI_net,18,17,0.0631127450980391
46,gene_gene_on_CbG_name_mapped,4,10,-0.021428571428571352
47,gene_gene_on_GcG_name_mapped,28,37,0.03733293733293719
48,GOMF,9,4,
