,Layer,Chorea nodes,Goiter nodes,sAB
0,coex_KDN,41,34,0.14180296508847468
1,coex_BST,35,19,0.1920526899935746
2,coex_OVR,37,27,0.24173067076292876
3,coex_LNG,39,27,0.02345975783475751
4,coex_ITI,42,26,0.1588558500323205
5,coex_VGN,40,26,0.07112470862470888
6,coex_HRV,16,11,0.2533653846153845
7,coex_MSG,41,31,-0.007430719468485059
8,coex_ADV,31,19,0.1981561045470821
9,coex_EMS,36,20,0.027219564061669033
10,coex_SMU,35,19,-0.057783347257031714
11,coex_ARG,37,20,0.289118065433855
12,coex_TST,43,22,0.1893072044234836
13,coex_PIT,41,29,-0.06423164724258079
14,coex_LVR,33,22,-0.016666666666666163
15,coex_THY,32,29,0.15761957730811993
16,coex_PNC,37,20,0.18551446183025133
17,coex_ATC,35,24,0.2443301049233253
18,coex_BRO,42,23,-0.08150703463203435
19,coex_SKN,39,21,-0.01098901098901095
20,coex_ADS,30,17,0.5202922077922074
21,coex_GEJ,40,23,0.20506912442396308
22,coex_BRB,26,14,0.2650727650727651
23,coex_UTR,30,19,0.23582169709989298
24,coex_STM,39,25,0.12939014202172094
25,coex_HRA,40,18,-0.16139846743295005
26,coex_PRS,34,20,-0.03828976034858389
27,coex_ATA,30,19,0.3204260651629074
28,coex_FIB,33,23,0.11655373611895348
29,coex_BRC,43,23,0.03163929094161633
30,coex_ATT,34,20,0.1084967320261434
31,coex_TNV,16,10,0.05208333333333348
32,coex_SPL,36,28,-0.06696428571428581
33,coex_LCL,26,22,-0.05852842809364556
34,coex_CLS,35,22,0.13323080428343603
35,coex_EMC,39,21,0.08406593406593421
36,coex_CLT,38,26,0.29712803643724683
37,coex_core,41,28,0.5686638388123011
38,coex_WBL,36,21,-0.005847953216374435
39,co-essential,11,11,0.18701298701298708
40,GOBP,20,16,1.116766061263215
41,ppi,49,42,0.24515960230245937
42,reactome_copathway,18,10,0.3024038461538461
43,MP,12,13,0.8535395763656632
44,HP,42,48,0.47640677117129426
45,GI_net,20,20,-0.13157894736842102
46,gene_gene_on_CbG_name_mapped,12,16,-0.06845238095238071
47,gene_gene_on_GcG_name_mapped,39,22,0.030016431655776055
48,GOMF,3,2,
