,Layer,Pulmonary_fibrosis nodes,Vitiligo nodes,sAB
0,coex_KDN,33,36,-0.07720588235294112
1,coex_BST,13,20,-0.07534965034965024
2,coex_OVR,19,27,0.059446693657219996
3,coex_LNG,25,31,-0.14933179723502343
4,coex_ITI,29,32,-0.09426229508196715
5,coex_VGN,18,28,0.17994864612511652
6,coex_HRV,23,16,-0.12350478468899473
7,coex_MSG,27,28,0.10683020683020694
8,coex_ADV,18,20,-0.20102339181286588
9,coex_EMS,16,22,-0.16477272727272751
10,coex_SMU,12,20,-0.4458333333333333
11,coex_ARG,12,21,-0.09714076246334313
12,coex_TST,17,31,0.05060088551549646
13,coex_PIT,23,24,-0.0652173913043479
14,coex_LVR,21,25,-0.18166666666666642
15,coex_THY,20,25,-0.19999999999999973
16,coex_PNC,22,22,-0.09974327997583776
17,coex_ATC,18,26,0.03651556776556775
18,coex_BRO,19,29,0.45772837265577726
19,coex_SKN,15,26,0.2067542213883673
20,coex_ADS,16,23,0.017280917280917407
21,coex_GEJ,20,22,-0.03939393939393954
22,coex_BRB,18,21,-0.1412280701754387
23,coex_UTR,10,16,-0.44444444444444464
24,coex_STM,24,27,-0.02410256410256384
25,coex_HRA,17,19,-0.20639834881320995
26,coex_PRS,20,20,-0.35934547908232073
27,coex_ATA,16,26,-0.025891181988743295
28,coex_FIB,14,17,-0.14346706424505307
29,coex_BRC,18,24,-0.2321428571428572
30,coex_ATT,18,27,-0.1867724867724867
31,coex_TNV,10,18,0.06825396825396846
32,coex_SPL,18,30,-0.5111111111111108
33,coex_LCL,9,18,-0.49264705882352966
34,coex_CLS,18,25,-0.13245478036175706
35,coex_EMC,17,27,-0.2661001788908768
36,coex_CLT,25,29,0.07716601604857942
37,coex_core,30,30,-0.220348723943113
38,coex_WBL,23,32,-0.2592592592592593
39,co-essential,8,7,-1.485576923076923
40,GOBP,10,17,-0.2194805194805194
41,ppi,50,49,-0.04179138321995457
42,reactome_copathway,28,17,0.3416393058161351
43,MP,15,17,-0.4333333333333331
44,HP,25,37,0.09417611159546646
45,GI_net,19,13,-0.6648918187964845
46,gene_gene_on_CbG_name_mapped,12,6,-0.26388888888888884
47,gene_gene_on_GcG_name_mapped,31,24,-0.18943059628543502
48,GOMF,4,9,-0.5
