,Layer,Infection_of_bone nodes,Adrenal_insufficiency nodes,sAB
0,coex_KDN,36,32,0.006740196078431238
1,coex_BST,19,22,0.08671171171171155
2,coex_OVR,23,30,0.26909090909090905
3,coex_LNG,31,23,0.12647985228630398
4,coex_ITI,34,26,0.06739164790012242
5,coex_VGN,27,24,0.08629251700680296
6,coex_HRV,22,11,-0.2428519061583576
7,coex_MSG,31,25,-0.16488479262672806
8,coex_ADV,25,26,-0.07275953859804751
9,coex_EMS,25,23,-0.053996486605182525
10,coex_SMU,18,23,-0.21237373737373755
11,coex_ARG,19,27,0.35780885780885807
12,coex_TST,25,33,0.1409613375130616
13,coex_PIT,24,32,-0.17336309523809557
14,coex_LVR,29,25,0.11892720306513405
15,coex_THY,24,23,-0.04158432147562596
16,coex_PNC,23,20,-0.0690343781597571
17,coex_ATC,27,27,0.2592592592592595
18,coex_BRO,23,28,0.17342995169082132
19,coex_SKN,22,26,0.016750483558994222
20,coex_ADS,25,20,0.03832535885167454
21,coex_GEJ,27,28,0.19854700854700846
22,coex_BRB,20,15,-0.24642857142857144
23,coex_UTR,13,22,-0.15463458110516948
24,coex_STM,29,24,0.15636446886446898
25,coex_HRA,21,26,0.3169168230143842
26,coex_PRS,22,23,-0.06432335780161846
27,coex_ATA,20,30,0.08678160919540234
28,coex_FIB,12,19,-0.3056734578381437
29,coex_BRC,19,25,0.011704406364748898
30,coex_ATT,17,23,-0.023172905525846943
31,coex_TNV,16,15,-0.07380952380952399
32,coex_SPL,33,30,-0.13319892473118267
33,coex_LCL,17,21,-0.1351351351351351
34,coex_CLS,29,27,0.053571428571428825
35,coex_EMC,29,24,-0.015386710239650991
36,coex_CLT,30,25,0.3664199739752765
37,coex_core,33,30,0.08671000141749174
38,coex_WBL,32,25,-0.2102272727272727
39,co-essential,8,10,-0.34305555555555545
40,GOBP,17,20,1.0496323529411766
41,ppi,50,46,0.04864130434782599
42,reactome_copathway,24,23,-0.0366132723112127
43,MP,11,9,-0.1746411483253585
44,HP,36,38,0.41723960802908167
45,GI_net,23,28,0.026077097505669222
46,gene_gene_on_CbG_name_mapped,18,13,0.024469258340225952
47,gene_gene_on_GcG_name_mapped,30,24,0.017628205128205066
48,GOMF,6,8,
