,Layer,Ovarian_cancer nodes,Small_cell_lung_carcinoma nodes,sAB
0,coex_KDN,44,34,-0.21697294953108903
1,coex_BST,38,27,-0.4764282501124606
2,coex_OVR,37,27,-0.38217905405405395
3,coex_LNG,43,34,-0.417707463535097
4,coex_ITI,43,35,-0.1611125308799728
5,coex_VGN,43,34,-0.2257315188231741
6,coex_HRV,18,17,-0.7333800186741362
7,coex_MSG,41,40,-0.20950015055706106
8,coex_ADV,30,21,-0.2652661064425774
9,coex_EMS,38,29,-0.45796308954203724
10,coex_SMU,33,25,-0.4805851619644723
11,coex_ARG,34,28,-0.29045811873136373
12,coex_TST,42,39,-0.24718491385158048
13,coex_PIT,40,40,-0.2749999999999999
14,coex_LVR,33,26,-0.4483524949626645
15,coex_THY,35,24,-0.6314200042835725
16,coex_PNC,32,26,-0.5590600132625996
17,coex_ATC,38,31,-0.49509803921568607
18,coex_BRO,37,44,-0.12253162253162242
19,coex_SKN,42,32,-0.2780526061776063
20,coex_ADS,30,22,-0.9190638637900301
21,coex_GEJ,36,31,-0.6111519607843139
22,coex_BRB,23,29,-0.22627147964479288
23,coex_UTR,32,23,-0.1936337258917904
24,coex_STM,42,33,-0.18440315315315292
25,coex_HRA,32,31,-0.3759856630824372
26,coex_PRS,38,30,-0.36150670794633655
27,coex_ATA,33,22,-0.35151515151515156
28,coex_FIB,38,26,-0.13588056680161942
29,coex_BRC,37,41,-0.2666108885621079
30,coex_ATT,32,24,-0.10615118577075133
31,coex_TNV,19,11,-0.6111111111111107
32,coex_SPL,39,28,-0.29940429940429936
33,coex_LCL,35,13,-0.2739769820971867
34,coex_CLS,39,35,-0.3542916542916543
35,coex_EMC,42,34,-0.19276850663243472
36,coex_CLT,43,35,-0.19653679653679657
37,coex_core,45,33,-0.18127705627705626
38,coex_WBL,33,20,-0.31786735277301337
39,co-essential,26,10,-0.4883333333333333
40,GOBP,6,10,1.2337662337662336
41,ppi,48,49,-0.125
42,reactome_copathway,43,20,-0.07262735602715664
43,MP,11,13,0.7527997364953887
44,HP,38,22,-0.19202551834130777
45,GI_net,41,22,-0.20645161290322567
46,gene_gene_on_CbG_name_mapped,17,12,-0.25278904665314406
47,gene_gene_on_GcG_name_mapped,37,34,-0.1677881278129829
48,GOMF,3,1,
