,Layer,Absence_seizure nodes,Crohn_disease nodes,sAB
0,coex_KDN,32,35,0.055923507462686706
1,coex_BST,23,27,0.15972222222222232
2,coex_OVR,19,28,0.1600543912973924
3,coex_LNG,21,27,0.1696428571428572
4,coex_ITI,29,38,0.08028144215402122
5,coex_VGN,26,26,-0.18149321266968332
6,coex_HRV,12,19,0.1944444444444442
7,coex_MSG,25,35,0.37142857142857144
8,coex_ADV,16,25,0.6730487804878047
9,coex_EMS,23,23,0.19565217391304301
10,coex_SMU,19,21,-0.07073934837092732
11,coex_ARG,28,23,-0.09532943612227518
12,coex_TST,35,26,0.025166636642046436
13,coex_PIT,30,29,0.16694915254237275
14,coex_LVR,23,30,0.1351343558989737
15,coex_THY,20,24,0.559848484848485
16,coex_PNC,22,24,-0.0027173913043476716
17,coex_ATC,25,28,0.34498652291105114
18,coex_BRO,42,26,0.5035283246058637
19,coex_SKN,22,24,-0.01572793148880125
20,coex_ADS,24,23,0.3849252235584335
21,coex_GEJ,25,28,0.21559523809523817
22,coex_BRB,34,17,0.8186274509803919
23,coex_UTR,17,18,0.09859943977591046
24,coex_STM,30,32,0.19257392473118262
25,coex_HRA,23,23,-0.17779667248828002
26,coex_PRS,22,23,0.26607378129117265
27,coex_ATA,21,30,0.06000000000000005
28,coex_FIB,18,17,0.19841269841269837
29,coex_BRC,36,23,0.2438423645320198
30,coex_ATT,23,23,0.13910847606499832
31,coex_TNV,22,24,0.813978988168095
32,coex_SPL,24,31,-0.027113880742912766
33,coex_LCL,13,17,0.3892207792207789
34,coex_CLS,27,32,0.29516335022452944
35,coex_EMC,21,27,-0.051256613756613945
36,coex_CLT,27,37,0.17824275888792007
37,coex_core,27,35,0.3987020420220819
38,coex_WBL,17,34,-0.02941176470588225
39,co-essential,6,10,0.3222222222222224
40,GOBP,25,13,1.4362745098039214
41,ppi,50,50,0.1499999999999999
42,reactome_copathway,17,30,0.4166344044392827
43,MP,14,11,1.5104895104895109
44,HP,32,25,1.334254385964912
45,GI_net,17,16,0.1909946236559139
46,gene_gene_on_CbG_name_mapped,28,16,0.11404220779220786
47,gene_gene_on_GcG_name_mapped,35,29,0.053509852216748754
48,GOMF,1,6,
