,Layer,Rosacea nodes,Urticaria nodes,sAB
0,coex_KDN,30,38,-0.19256420599704183
1,coex_BST,18,17,0.17320261437908502
2,coex_OVR,26,27,-0.5308955544804601
3,coex_LNG,27,29,-0.03571428571428559
4,coex_ITI,29,32,-0.11133585358959852
5,coex_VGN,25,30,-0.19768518518518507
6,coex_HRV,16,19,-0.5419191919191917
7,coex_MSG,32,36,-0.18259803921568651
8,coex_ADV,20,28,-0.07060572277963617
9,coex_EMS,23,24,0.029726613965744608
10,coex_SMU,21,25,-0.21051759834368533
11,coex_ARG,19,20,-0.5526315789473688
12,coex_TST,27,27,-0.14814814814814814
13,coex_PIT,26,30,-0.15256410256410247
14,coex_LVR,23,30,-0.11633606273786179
15,coex_THY,24,24,-0.33333333333333304
16,coex_PNC,22,24,-0.4527338603425557
17,coex_ATC,28,26,-0.22698005698005708
18,coex_BRO,23,32,0.0016362786348760316
19,coex_SKN,28,32,-0.5975552604858236
20,coex_ADS,18,31,-0.026388888888889017
21,coex_GEJ,28,27,-0.3558709808709808
22,coex_BRB,20,19,0.02631578947368407
23,coex_UTR,16,20,-0.23688909774436073
24,coex_STM,25,29,-0.46822477650063843
25,coex_HRA,22,24,-0.4814723320158105
26,coex_PRS,24,25,-0.1875
27,coex_ATA,25,23,-0.3850601295097129
28,coex_FIB,19,23,-0.037881465771179235
29,coex_BRC,20,24,-0.16324570273003025
30,coex_ATT,25,27,-0.48502262443438937
31,coex_TNV,19,12,-0.5968102073365231
32,coex_SPL,27,30,-0.3144249512670565
33,coex_LCL,20,15,-0.002525252525252597
34,coex_CLS,28,28,0.06852869352869329
35,coex_EMC,25,26,-0.3541666666666665
36,coex_CLT,27,30,-0.08313840155945407
37,coex_core,32,37,0.08724522548547586
38,coex_WBL,25,33,-0.1944200626959247
39,co-essential,9,8,-0.4375
40,GOBP,21,19,0.429824561403509
41,ppi,47,50,-0.12722526869927608
42,reactome_copathway,19,25,-0.3320181731229075
43,MP,10,12,-0.3833333333333333
44,HP,25,38,0.03416875522138674
45,GI_net,18,20,-0.3055555555555556
46,gene_gene_on_CbG_name_mapped,13,18,-0.07933553901295842
47,gene_gene_on_GcG_name_mapped,27,28,-0.2733285233285234
48,GOMF,10,9,0.0
