,Layer,Myopathy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,23,29,0.1359422329651503
1,coex_BST,16,20,-0.06533378901799969
2,coex_OVR,15,25,-0.0826923076923074
3,coex_LNG,17,30,0.022381635581061765
4,coex_ITI,22,24,0.0032114624505927836
5,coex_VGN,16,27,0.022701688555347044
6,coex_HRV,16,15,0.39935897435897405
7,coex_MSG,31,28,-0.08940287432632954
8,coex_ADV,15,22,0.25757575757575735
9,coex_EMS,21,20,0.5500000000000003
10,coex_SMU,25,19,0.48100478468899555
11,coex_ARG,14,21,-0.08809523809523778
12,coex_TST,22,24,-0.08769762845849804
13,coex_PIT,19,25,0.11004784688995217
14,coex_LVR,16,31,0.02536945812807878
15,coex_THY,14,21,0.12593984962406024
16,coex_PNC,14,23,0.11510590858416991
17,coex_ATC,20,20,-0.04999999999999982
18,coex_BRO,20,27,-0.11979905437352256
19,coex_SKN,15,23,-0.13525798525798516
20,coex_ADS,9,19,0.7882553606237814
21,coex_GEJ,18,21,-0.04914529914529897
22,coex_BRB,13,18,-0.07468501326259958
23,coex_UTR,14,19,-0.011639676113360586
24,coex_STM,19,23,-0.06314699792960665
25,coex_HRA,18,20,0.02285373608902974
26,coex_PRS,28,24,0.08483115468409608
27,coex_ATA,15,17,0.3913662239089186
28,coex_FIB,13,19,0.21619433198380578
29,coex_BRC,18,26,0.07555555555555538
30,coex_ATT,21,19,0.15873015873015905
31,coex_TNV,17,13,0.5788461538461536
32,coex_SPL,17,34,0.7169340463458114
33,coex_LCL,10,12,-0.03769841269841301
34,coex_CLS,21,23,-0.1232558139534885
35,coex_EMC,19,26,0.1217948717948718
36,coex_CLT,20,24,-0.026136363636363624
37,coex_core,24,30,0.10246598639455806
38,coex_WBL,23,36,1.2123376623376623
39,co-essential,6,10,0.5944444444444446
40,GOBP,25,23,1.2129211368341806
41,ppi,39,50,0.3494093921060213
42,reactome_copathway,21,16,2.270843672456575
43,MP,14,16,1.8386446886446888
44,HP,32,36,0.7201797385620916
45,GI_net,15,16,-0.10000000000000009
46,gene_gene_on_CbG_name_mapped,17,13,-0.005731523378582182
47,gene_gene_on_GcG_name_mapped,28,30,0.033374384236453336
48,GOMF,8,2,
