,Layer,Erythroderma nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,30,39,0.33176691729323293
1,coex_BST,18,28,0.024625322997416266
2,coex_OVR,34,34,0.1208995131295394
3,coex_LNG,28,31,0.034706959706959584
4,coex_ITI,26,38,0.2860576923076923
5,coex_VGN,38,32,0.27644496936591145
6,coex_HRV,11,29,0.7587975243147658
7,coex_MSG,36,32,0.4275586353944565
8,coex_ADV,18,24,0.2250000000000001
9,coex_EMS,28,28,0.5178571428571428
10,coex_SMU,19,31,0.32155489530277315
11,coex_ARG,13,32,0.35653409090909083
12,coex_TST,23,34,0.05911000763941954
13,coex_PIT,21,34,-0.05516934046345834
14,coex_LVR,25,37,0.15718579234972685
15,coex_THY,22,29,0.25350649350649324
16,coex_PNC,18,31,0.21090264062614272
17,coex_ATC,22,29,0.22959183673469408
18,coex_BRO,20,36,0.18452380952380976
19,coex_SKN,37,31,0.06868686868686869
20,coex_ADS,31,30,1.1804948059048663
21,coex_GEJ,30,27,0.4951195037401934
22,coex_BRB,12,26,0.5835020242914979
23,coex_UTR,14,22,-0.05464535464535469
24,coex_STM,26,36,0.2329749103942651
25,coex_HRA,18,32,0.046220830473575614
26,coex_PRS,27,27,0.18518518518518512
27,coex_ATA,20,24,0.48901515151515174
28,coex_FIB,16,28,0.1746608527131781
29,coex_BRC,20,36,0.0029106858054226414
30,coex_ATT,23,31,0.12811080545070652
31,coex_TNV,21,23,1.066354903943377
32,coex_SPL,27,32,0.019430712492153113
33,coex_LCL,14,27,-0.13692307692307693
34,coex_CLS,26,34,0.027575757575757365
35,coex_EMC,35,31,0.4002590283425196
36,coex_CLT,27,32,0.07993957940991847
37,coex_core,38,35,0.5767973856209152
38,coex_WBL,24,31,0.43845307917888565
39,co-essential,6,16,-0.7746212121212119
40,GOBP,22,26,1.5023514211886302
41,ppi,49,50,0.40339311482168627
42,reactome_copathway,23,15,0.23438416422287434
43,MP,17,7,1.2190476190476183
44,HP,47,36,1.0220598706884276
45,GI_net,20,21,0.007936507936508352
46,gene_gene_on_CbG_name_mapped,8,33,0.4185144124168516
47,gene_gene_on_GcG_name_mapped,17,31,0.1391129032258065
48,GOMF,11,9,1.5
