,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Mastocytosis nodes,sAB
0,coex_KDN,32,41,0.09862375472346274
1,coex_BST,24,22,-0.09009100101112244
2,coex_OVR,16,29,0.03716475095785432
3,coex_LNG,25,30,0.4748484848484851
4,coex_ITI,30,32,-0.08583611420096404
5,coex_VGN,30,31,0.19813150008813674
6,coex_HRV,15,24,0.8253205128205123
7,coex_MSG,25,32,0.2583991228070177
8,coex_ADV,22,25,0.4505105401844536
9,coex_EMS,22,30,0.8268065268065268
10,coex_SMU,21,20,0.12308362369337988
11,coex_ARG,26,24,-0.0045512820512818575
12,coex_TST,31,28,0.06712293993595253
13,coex_PIT,33,30,0.3354256854256856
14,coex_LVR,21,29,0.08344827586206893
15,coex_THY,23,22,0.2046113306982873
16,coex_PNC,30,20,0.30796973961998564
17,coex_ATC,25,30,0.2056410256410257
18,coex_BRO,42,32,0.05642696267696268
19,coex_SKN,22,35,0.15723198370257174
20,coex_ADS,19,28,0.32407407407407396
21,coex_GEJ,23,29,1.2337617285582132
22,coex_BRB,34,24,0.4566430020283978
23,coex_UTR,17,22,0.1560828877005349
24,coex_STM,28,29,0.08716835191426853
25,coex_HRA,24,19,0.5674603174603177
26,coex_PRS,20,24,0.21325757575757587
27,coex_ATA,20,26,-0.12489407777045525
28,coex_FIB,17,17,-0.2058823529411764
29,coex_BRC,36,21,0.06296296296296311
30,coex_ATT,22,28,0.3933896791039646
31,coex_TNV,22,19,0.7785714285714285
32,coex_SPL,21,26,0.16456238796664335
33,coex_LCL,12,17,0.14105814739688993
34,coex_CLS,30,28,0.08684210526315805
35,coex_EMC,22,30,0.19545454545454555
36,coex_CLT,25,32,0.26363636363636345
37,coex_core,28,35,0.3259013282732446
38,coex_WBL,14,28,0.14285714285714324
39,co-essential,7,6,-0.32783882783882845
40,GOBP,27,13,0.7798423423423424
41,ppi,49,49,0.3163265306122449
42,reactome_copathway,19,22,0.4015151515151514
43,MP,11,9,0.8571428571428577
44,HP,37,26,0.7685130185130182
45,GI_net,18,23,-0.0048603746907032175
46,gene_gene_on_CbG_name_mapped,20,16,0.27361111111111125
47,gene_gene_on_GcG_name_mapped,31,26,-0.008815462975055421
48,GOMF,6,4,
