,Layer,Diabetes_insipidus nodes,Glanzmann_thrombasthenia nodes,sAB
0,coex_KDN,30,31,-0.4418385334038426
1,coex_BST,20,21,-0.0579658605974398
2,coex_OVR,22,25,-0.417872340425532
3,coex_LNG,24,25,0.3846598639455783
4,coex_ITI,29,28,-0.24742891712038717
5,coex_VGN,26,29,-0.2734506872437905
6,coex_HRV,18,20,-0.6248832866479925
7,coex_MSG,27,29,-0.21396642948367073
8,coex_ADV,21,14,0.20911441499676808
9,coex_EMS,19,21,-0.10084345479082346
10,coex_SMU,18,22,-0.33308080808080787
11,coex_ARG,19,16,0.13007518796992512
12,coex_TST,33,31,-0.2536562339989761
13,coex_PIT,31,28,-0.3784369114877588
14,coex_LVR,27,28,-0.5940679690679693
15,coex_THY,24,17,-0.37564102564102564
16,coex_PNC,18,21,-0.25593395252837947
17,coex_ATC,28,22,-0.15240259740259732
18,coex_BRO,31,25,0.007575757575757347
19,coex_SKN,21,25,0.004960317460317443
20,coex_ADS,21,26,-0.6232142857142855
21,coex_GEJ,18,24,-0.16189466242488493
22,coex_BRB,13,13,-0.23435897435897424
23,coex_UTR,18,15,-0.06696428571428559
24,coex_STM,27,27,-0.3777616513465569
25,coex_HRA,22,19,-0.11775002917493271
26,coex_PRS,19,22,0.034368070953436636
27,coex_ATA,19,24,-0.2504086302713304
28,coex_FIB,18,19,-0.1066461198040145
29,coex_BRC,24,27,-0.2732692307692308
30,coex_ATT,23,25,-0.3179733271662042
31,coex_TNV,15,19,-0.4560606060606056
32,coex_SPL,28,32,-0.4263392857142856
33,coex_LCL,15,20,-0.07023809523809543
34,coex_CLS,26,26,-0.41105580693816
35,coex_EMC,25,27,-0.20726495726495742
36,coex_CLT,26,26,-0.11307692307692307
37,coex_core,29,31,-0.1724137931034484
38,coex_WBL,21,31,0.1693252983575566
39,co-essential,6,4,0.18333333333333313
40,GOBP,15,19,-0.5015151515151515
41,ppi,48,48,-0.13541666666666674
42,reactome_copathway,20,29,-0.3599343185550081
43,MP,11,16,0.41798418972331985
44,HP,39,34,-0.14380462406248062
45,GI_net,19,17,-0.5767113863089097
46,gene_gene_on_CbG_name_mapped,11,20,-0.306891495601173
47,gene_gene_on_GcG_name_mapped,30,34,-0.5045343137254903
48,GOMF,3,6,
