,Layer,Cardiomyopathy nodes,Stroke_disorder nodes,sAB
0,coex_KDN,31,42,-0.17987606001304646
1,coex_BST,14,22,-0.40476190476190466
2,coex_OVR,17,32,-0.21486719687875144
3,coex_LNG,22,35,-0.2238095238095239
4,coex_ITI,25,35,-0.13221347861178345
5,coex_VGN,22,31,-0.21757594201294728
6,coex_HRV,25,23,0.1560541586073505
7,coex_MSG,30,39,0.03600891861761424
8,coex_ADV,16,28,0.1529100529100531
9,coex_EMS,19,29,0.09199478275046902
10,coex_SMU,15,26,0.43039399624765506
11,coex_ARG,14,20,-0.03631072874493935
12,coex_TST,28,36,-0.17328042328042348
13,coex_PIT,20,34,-0.1950543167524299
14,coex_LVR,19,35,-0.1411027568922305
15,coex_THY,16,26,-0.05276653171390011
16,coex_PNC,17,25,-0.19462184873949573
17,coex_ATC,29,31,-0.04738598442714137
18,coex_BRO,24,32,0.004464285714285587
19,coex_SKN,22,29,-0.04251700680272119
20,coex_ADS,23,25,-0.13056968855997475
21,coex_GEJ,20,26,0.034497607655502804
22,coex_BRB,19,16,-0.26357069143446843
23,coex_UTR,9,23,0.512530193236715
24,coex_STM,25,33,-0.27383490073145245
25,coex_HRA,26,27,0.1449572649572648
26,coex_PRS,20,27,-0.019366047970167166
27,coex_ATA,18,27,-0.14444444444444393
28,coex_FIB,12,25,0.011850649350649167
29,coex_BRC,18,33,-0.39888888888888885
30,coex_ATT,23,32,-0.21788312533270204
31,coex_TNV,22,23,-0.20454545454545459
32,coex_SPL,17,38,0.2575646941994276
33,coex_LCL,11,20,0.2999999999999998
34,coex_CLS,19,35,-0.04411764705882382
35,coex_EMC,19,32,-0.2932427843803054
36,coex_CLT,21,30,-0.2133333333333336
37,coex_core,29,32,0.012670565302144166
38,coex_WBL,25,34,0.12229102167182715
39,co-essential,4,10,0.02857142857142847
40,GOBP,16,12,1.1428571428571432
41,ppi,48,50,-0.11352040816326525
42,reactome_copathway,21,25,-0.13593816859221208
43,MP,19,11,-0.33412698412698427
44,HP,34,39,0.19575817682183505
45,GI_net,17,22,-0.20529960235842548
46,gene_gene_on_CbG_name_mapped,14,20,-0.22289915966386542
47,gene_gene_on_GcG_name_mapped,24,32,-0.27752976190476164
48,GOMF,2,5,
