,Layer,Nephroblastoma nodes,Disorder_of_orbital_region nodes,sAB
0,coex_KDN,44,33,0.030844155844155896
1,coex_BST,31,27,-0.06248095424665889
2,coex_OVR,33,20,0.008733562035449172
3,coex_LNG,37,29,-0.04781270298511675
4,coex_ITI,41,29,0.02245584524810762
5,coex_VGN,40,25,-0.04942307692307679
6,coex_HRV,16,9,0.0638888888888891
7,coex_MSG,41,29,0.064952541151027
8,coex_ADV,29,19,-0.1467029643073201
9,coex_EMS,33,19,-0.0861556743909686
10,coex_SMU,31,21,0.01764705882352935
11,coex_ARG,30,20,0.0016666666666667052
12,coex_TST,42,31,-0.03626664983271244
13,coex_PIT,35,30,0.02619047619047632
14,coex_LVR,35,18,0.09516322252171316
15,coex_THY,27,20,0.025768321513002235
16,coex_PNC,34,19,-0.01659125188536903
17,coex_ATC,34,21,0.22276546982429335
18,coex_BRO,33,30,-0.15548155737704938
19,coex_SKN,37,20,-0.23711474632527274
20,coex_ADS,25,20,-0.0014165849406126974
21,coex_GEJ,33,17,-0.24479166666666652
22,coex_BRB,15,22,-0.20476190476190492
23,coex_UTR,32,20,0.005769230769230749
24,coex_STM,40,21,0.10476190476190461
25,coex_HRA,30,18,0.10972222222222228
26,coex_PRS,33,28,-0.03215488215488227
27,coex_ATA,32,19,0.1988115449915111
28,coex_FIB,34,19,0.21226415094339623
29,coex_BRC,32,31,-0.05066724270353351
30,coex_ATT,31,20,0.1306232170287469
31,coex_TNV,18,17,0.1775846702317292
32,coex_SPL,37,21,0.07907776197249872
33,coex_LCL,31,16,0.03246753246753231
34,coex_CLS,37,25,0.18055555555555558
35,coex_EMC,38,21,0.050305849369185696
36,coex_CLT,41,27,0.021898014617344863
37,coex_core,40,24,0.09130434782608687
38,coex_WBL,32,22,-0.17229615902964968
39,co-essential,21,8,1.040775014459225
40,GOBP,4,26,0.35416666666666696
41,ppi,48,50,0.14700680272108846
42,reactome_copathway,20,18,-0.14696969696969697
43,MP,13,24,1.7316176470588234
44,HP,41,49,0.36960898180410373
45,GI_net,32,17,-0.09341397849462374
46,gene_gene_on_CbG_name_mapped,7,10,-0.1264705882352941
47,gene_gene_on_GcG_name_mapped,37,37,-0.027027027027026973
48,GOMF,2,4,
