,Layer,Primary_dilated_cardiomyopathy nodes,Cryptorchidism nodes,sAB
0,coex_KDN,33,15,0.04361001317523039
1,coex_BST,23,7,0.08755038065382914
2,coex_OVR,27,19,0.09066594133913553
3,coex_LNG,23,17,-0.014470319020056355
4,coex_ITI,31,15,-0.09846390168970798
5,coex_VGN,29,13,-0.013152077807250251
6,coex_HRV,37,10,0.14969969969969998
7,coex_MSG,42,15,-0.062155388471178075
8,coex_ADV,23,8,0.40579710144927494
9,coex_EMS,30,11,0.04999999999999982
10,coex_SMU,32,11,0.2625198202959833
11,coex_ARG,23,13,0.28825051759834386
12,coex_TST,34,26,0.027934350132625907
13,coex_PIT,25,19,0.1744497607655502
14,coex_LVR,21,11,-0.2137445887445888
15,coex_THY,27,11,-0.08277067759826373
16,coex_PNC,14,11,-0.7849350649350653
17,coex_ATC,34,12,0.9625959079283888
18,coex_BRO,27,17,-0.25978638324739567
19,coex_SKN,27,11,-0.04111288321814621
20,coex_ADS,22,6,1.301948051948052
21,coex_GEJ,22,14,-0.3653846153846154
22,coex_BRB,18,12,0.1416666666666666
23,coex_UTR,21,11,-0.09347943722943697
24,coex_STM,31,14,-0.10829493087557607
25,coex_HRA,39,13,0.10820512820512818
26,coex_PRS,39,14,-0.17948717948717974
27,coex_ATA,19,11,0.4114832535885169
28,coex_FIB,15,9,0.05277777777777759
29,coex_BRC,26,13,0.005717255717255565
30,coex_ATT,26,9,0.2356254856254858
31,coex_TNV,21,6,-0.2483253588516745
32,coex_SPL,25,13,0.3216194331983804
33,coex_LCL,17,8,-0.15476190476190466
34,coex_CLS,29,11,-0.11202771819831714
35,coex_EMC,23,11,-0.24607293127629748
36,coex_CLT,27,13,-0.05769230769230749
37,coex_core,35,14,0.37192807192807154
38,coex_WBL,29,15,1.1488947833775418
39,co-essential,9,7,-0.7722222222222221
40,GOBP,19,16,2.2142857142857144
41,ppi,50,50,0.41000000000000014
42,reactome_copathway,18,16,0.21760592348827634
43,MP,20,18,1.4948830409356724
44,HP,43,47,0.8872505360382648
45,GI_net,16,23,-0.3642857142857143
46,gene_gene_on_CbG_name_mapped,11,21,0.16856060606060597
47,gene_gene_on_GcG_name_mapped,31,31,-0.13060990657500438
48,GOMF,1,9,
