,Layer,Chorea nodes,Nasal_polyposis nodes,sAB
0,coex_KDN,41,35,0.26180296508847434
1,coex_BST,35,17,0.034313725490195957
2,coex_OVR,37,21,0.05119047619047601
3,coex_LNG,39,38,0.39028077185971943
4,coex_ITI,42,26,0.30930833872010344
5,coex_VGN,40,23,0.29538474810213944
6,coex_HRV,16,19,-0.17072368421052664
7,coex_MSG,41,28,-0.02294475584507394
8,coex_ADV,31,17,-0.13869420108468944
9,coex_EMS,36,19,0.19659755449229177
10,coex_SMU,35,18,-0.06828391734052097
11,coex_ARG,37,16,-0.08402633402633386
12,coex_TST,43,33,0.10913912688698502
13,coex_PIT,41,31,0.08107133490689744
14,coex_LVR,33,24,-0.1651714513556617
15,coex_THY,32,20,0.42677103099304237
16,coex_PNC,37,22,0.18255447565792382
17,coex_ATC,35,26,0.14904761904761887
18,coex_BRO,42,31,0.5819971382278055
19,coex_SKN,39,24,0.02684575826230784
20,coex_ADS,30,21,0.29506802721088476
21,coex_GEJ,40,22,0.2833333333333332
22,coex_BRB,26,25,0.4257692307692307
23,coex_UTR,30,16,-0.005555555555555536
24,coex_STM,39,22,0.4310207336523124
25,coex_HRA,40,19,0.016762452107279557
26,coex_PRS,34,22,0.1796154825566587
27,coex_ATA,30,20,0.4316666666666671
28,coex_FIB,33,13,0.10950643559339213
29,coex_BRC,43,14,-0.028268345281809104
30,coex_ATT,34,17,0.6372549019607843
31,coex_TNV,16,12,0.14025673400673355
32,coex_SPL,36,25,-0.09303278688524586
33,coex_LCL,26,15,0.10467032967032952
34,coex_CLS,35,25,0.2180952380952379
35,coex_EMC,39,23,0.13094692193052815
36,coex_CLT,38,21,0.5807421095110659
37,coex_core,41,27,0.2573064456134755
38,coex_WBL,36,27,0.06998178506375208
39,co-essential,11,4,0.12857142857142856
40,GOBP,20,21,0.9080790210821172
41,ppi,49,48,0.30858361385791433
42,reactome_copathway,18,16,0.44818548387096735
43,MP,12,12,3.054512516469038
44,HP,42,36,1.287851037851038
45,GI_net,20,20,-0.034653074126758554
46,gene_gene_on_CbG_name_mapped,12,9,-0.02777777777777768
47,gene_gene_on_GcG_name_mapped,39,29,-0.0002470484214904811
48,GOMF,3,4,
