,Layer,West_syndrome nodes,Exanthem nodes,sAB
0,coex_KDN,40,41,0.19573547124360124
1,coex_BST,30,26,0.16222222222222227
2,coex_OVR,29,36,0.05295566502463034
3,coex_LNG,32,38,0.028007518796992592
4,coex_ITI,35,41,0.14930313588850175
5,coex_VGN,34,34,0.28029484746752287
6,coex_HRV,19,26,0.03545454545454563
7,coex_MSG,33,39,0.33012820512820507
8,coex_ADV,28,31,0.0007799671592771951
9,coex_EMS,33,29,0.21006505544881504
10,coex_SMU,32,26,0.040160809018567445
11,coex_ARG,34,28,0.4036199095022628
12,coex_TST,40,31,0.07118923216719675
13,coex_PIT,42,30,0.23928571428571432
14,coex_LVR,31,33,0.0652761776753712
15,coex_THY,30,34,0.27273284313725465
16,coex_PNC,33,28,0.28936022993400057
17,coex_ATC,31,37,0.15725165393097074
18,coex_BRO,40,31,0.7176414982866599
19,coex_SKN,35,32,0.09093694295900168
20,coex_ADS,21,36,-0.09772727272727266
21,coex_GEJ,31,36,0.19307359307359295
22,coex_BRB,21,26,0.6951718494271688
23,coex_UTR,26,21,-0.03437118437118425
24,coex_STM,33,38,0.35216883437787794
25,coex_HRA,32,25,0.15699404761904767
26,coex_PRS,28,26,0.031389906389906574
27,coex_ATA,31,31,0.274193548387097
28,coex_FIB,28,21,0.039285714285714146
29,coex_BRC,41,24,0.4906250000000001
30,coex_ATT,32,31,0.303763440860215
31,coex_TNV,18,20,0.467448330683625
32,coex_SPL,33,39,0.19075369075369064
33,coex_LCL,21,22,-0.01904761904761898
34,coex_CLS,34,37,0.19140989729225044
35,coex_EMC,30,35,0.2708333333333335
36,coex_CLT,34,37,0.030714894653513625
37,coex_core,33,45,0.49146915915581757
38,coex_WBL,28,37,0.2767374517374521
39,co-essential,8,6,-0.25
40,GOBP,19,19,1.6875
41,ppi,50,50,0.28
42,reactome_copathway,21,19,0.7373433583959899
43,MP,6,11,1.2295454545454554
44,HP,38,49,0.9182161067693864
45,GI_net,21,19,0.018133569217160694
46,gene_gene_on_CbG_name_mapped,14,13,0.28194953194953176
47,gene_gene_on_GcG_name_mapped,30,25,0.01606060606060611
48,GOMF,4,8,
