,Layer,Cataplexy_and_narcolepsy nodes,Obesity nodes,sAB
0,coex_KDN,32,18,0.03847222222222246
1,coex_BST,18,11,0.03509230233368177
2,coex_OVR,17,10,0.16346153846153832
3,coex_LNG,20,17,0.4350556438791733
4,coex_ITI,27,18,0.40555555555555545
5,coex_VGN,25,15,0.1839194139194138
6,coex_HRV,13,10,-0.1933110367892974
7,coex_MSG,21,16,0.10810810810810789
8,coex_ADV,15,11,0.45775058275058234
9,coex_EMS,20,11,0.07797805642633238
10,coex_SMU,18,12,0.06944444444444464
11,coex_ARG,17,7,0.06230590062111796
12,coex_TST,25,20,-0.10833333333333339
13,coex_PIT,22,19,0.3226190476190476
14,coex_LVR,20,14,-0.05756302521008383
15,coex_THY,19,14,0.24008885850991124
16,coex_PNC,18,11,0.08185301288749569
17,coex_ATC,21,12,0.002083333333333215
18,coex_BRO,29,19,0.10549988163812829
19,coex_SKN,20,10,-0.040199637023593304
20,coex_ADS,18,11,0.2749912922326714
21,coex_GEJ,20,9,0.35185185185185164
22,coex_BRB,23,11,0.22622645896303206
23,coex_UTR,14,11,0.13350649350649357
24,coex_STM,26,15,0.5512820512820511
25,coex_HRA,19,9,0.3285256410256405
26,coex_PRS,20,9,0.0391081871345027
27,coex_ATA,18,13,0.3399503722084365
28,coex_FIB,14,9,-0.01777087646652875
29,coex_BRC,23,15,0.041523341523341806
30,coex_ATT,20,14,0.1977479757085021
31,coex_TNV,16,12,-0.1759259259259256
32,coex_SPL,22,13,0.17162837162837175
33,coex_LCL,12,5,-0.5475490196078434
34,coex_CLS,27,13,0.2993589743589746
35,coex_EMC,18,14,-0.2475198412698414
36,coex_CLT,24,16,0.36629041248606464
37,coex_core,28,15,0.6766381766381768
38,coex_WBL,25,10,0.1557142857142857
39,co-essential,6,7,0.4166666666666665
40,GOBP,25,14,1.7272727272727275
41,ppi,49,49,0.23469387755102034
42,reactome_copathway,20,14,0.21726190476190466
43,MP,14,21,2.0998707175177764
44,HP,28,34,0.6219165085388993
45,GI_net,12,10,0.005411255411255755
46,gene_gene_on_CbG_name_mapped,8,11,0.38726076555023936
47,gene_gene_on_GcG_name_mapped,26,26,-0.09615384615384626
48,GOMF,13,3,
