,Layer,Chorea nodes,Thrombophilia nodes,sAB
0,coex_KDN,41,37,0.17297128272738016
1,coex_BST,35,17,0.12254901960784315
2,coex_OVR,37,17,0.25963154492566254
3,coex_LNG,39,24,0.11233211233211238
4,coex_ITI,42,20,0.08364055299539164
5,coex_VGN,40,27,0.16516203703703702
6,coex_HRV,16,18,0.25959967320261423
7,coex_MSG,41,28,0.06634095844064025
8,coex_ADV,31,19,0.24305873379099907
9,coex_EMS,36,16,-0.021901709401709102
10,coex_SMU,35,18,-0.022686433063791256
11,coex_ARG,37,15,-0.08787248787248769
12,coex_TST,43,28,0.19737026812034997
13,coex_PIT,41,25,0.010137195121951104
14,coex_LVR,33,43,0.15874458874458863
15,coex_THY,32,19,0.16977928692699518
16,coex_PNC,37,25,-0.01926765475152603
17,coex_ATC,35,20,0.27207792207792214
18,coex_BRO,42,24,0.5941558441558441
19,coex_SKN,39,22,0.10567765567765575
20,coex_ADS,30,20,0.013095238095238049
21,coex_GEJ,40,15,0.10370370370370363
22,coex_BRB,26,16,0.35130494505494525
23,coex_UTR,30,10,0.43034188034188015
24,coex_STM,39,25,0.41097744360902233
25,coex_HRA,40,21,-0.02538314176245171
26,coex_PRS,34,19,-0.0680968514516036
27,coex_ATA,30,20,0.4966666666666666
28,coex_FIB,33,14,-0.035322833195173375
29,coex_BRC,43,19,-0.056362774904252344
30,coex_ATT,34,23,0.12053376906318114
31,coex_TNV,16,16,-0.1794642857142854
32,coex_SPL,36,38,0.3771337126600285
33,coex_LCL,26,12,-0.13461538461538458
34,coex_CLS,35,17,0.2105688429217838
35,coex_EMC,39,25,0.1904714640198506
36,coex_CLT,38,20,0.1861615245009074
37,coex_core,41,25,0.1805962059620596
38,coex_WBL,36,28,0.3412698412698414
39,co-essential,11,10,-0.10000000000000053
40,GOBP,20,28,1.5471597853233439
41,ppi,49,50,0.4028818800247371
42,reactome_copathway,18,29,1.1221590909090908
43,MP,12,13,1.9973522853957633
44,HP,42,40,1.0648809523809524
45,GI_net,20,17,0.058307533539731615
46,gene_gene_on_CbG_name_mapped,12,25,0.2952252252252252
47,gene_gene_on_GcG_name_mapped,39,33,0.06497668997669015
48,GOMF,3,4,
