,Layer,Intracranial_swelling nodes,Psoriasis nodes,sAB
0,coex_KDN,39,36,0.11774932827564388
1,coex_BST,28,21,0.42033126293995826
2,coex_OVR,34,28,0.009449332029977331
3,coex_LNG,31,29,0.01565361387103037
4,coex_ITI,38,28,0.2283549783549783
5,coex_VGN,32,30,-0.061179087875416815
6,coex_HRV,29,15,1.2611285266457681
7,coex_MSG,32,34,0.19719251336898402
8,coex_ADV,24,18,0.572393591582975
9,coex_EMS,28,19,0.5075051759834368
10,coex_SMU,31,21,0.28358738036157405
11,coex_ARG,32,17,0.21085309123649454
12,coex_TST,34,28,-0.06410951477365145
13,coex_PIT,34,27,0.058778884960177136
14,coex_LVR,37,26,0.08674524400330874
15,coex_THY,29,21,0.3407626208378085
16,coex_PNC,31,24,-0.10810117302052813
17,coex_ATC,29,25,0.10277628032345021
18,coex_BRO,36,29,0.3278072502210432
19,coex_SKN,31,27,0.010897435897435859
20,coex_ADS,30,27,0.5004716981132074
21,coex_GEJ,27,24,0.5724400871459696
22,coex_BRB,26,24,-0.07891025641025617
23,coex_UTR,22,15,0.0874692874692875
24,coex_STM,36,30,0.3324786324786324
25,coex_HRA,32,20,0.6106894370651483
26,coex_PRS,27,22,0.39966509062253763
27,coex_ATA,24,19,0.3647745818033452
28,coex_FIB,28,22,0.4458874458874458
29,coex_BRC,36,23,-0.3087386391549989
30,coex_ATT,31,20,0.1916080225193526
31,coex_TNV,23,16,0.13144509476031185
32,coex_SPL,32,29,0.02300911531938965
33,coex_LCL,27,25,0.14869565217391312
34,coex_CLS,34,28,0.10405126534158793
35,coex_EMC,31,29,0.02804968483500181
36,coex_CLT,32,24,0.14136904761904767
37,coex_core,35,37,0.4357142857142855
38,coex_WBL,31,27,0.38215300951674713
39,co-essential,16,9,0.8052777777777775
40,GOBP,26,17,2.9267105263157895
41,ppi,50,49,0.2310575139146569
42,reactome_copathway,15,21,0.463474025974026
43,MP,7,9,-0.03571428571428559
44,HP,36,21,0.7360066833751042
45,GI_net,21,19,-0.24420024420024422
46,gene_gene_on_CbG_name_mapped,33,10,-0.017758985200845734
47,gene_gene_on_GcG_name_mapped,31,34,-0.2979346080864107
48,GOMF,9,7,
