,Layer,Abetalipoproteinaemia nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,28,37,0.16186516186516187
1,coex_BST,21,24,0.20019841269841265
2,coex_OVR,23,21,0.10257836198179993
3,coex_LNG,26,25,0.10289592760180977
4,coex_ITI,30,35,0.19377289377289397
5,coex_VGN,23,33,0.20355731225296436
6,coex_HRV,15,16,0.038690476190476275
7,coex_MSG,28,32,0.2607142857142857
8,coex_ADV,18,20,0.4165204678362575
9,coex_EMS,22,25,0.29392649903288204
10,coex_SMU,18,20,0.14605263157894743
11,coex_ARG,21,25,0.007619047619047636
12,coex_TST,29,32,0.16160714285714284
13,coex_PIT,29,35,0.01845751231527082
14,coex_LVR,21,24,0.30719696969696964
15,coex_THY,19,27,0.06721056721056717
16,coex_PNC,21,23,0.01952757387540016
17,coex_ATC,20,29,0.3880717804363125
18,coex_BRO,32,41,-0.09189149682592701
19,coex_SKN,21,31,0.11218487394957988
20,coex_ADS,18,24,0.33078730904817855
21,coex_GEJ,23,26,0.7826910408432148
22,coex_BRB,26,34,0.04238310708898951
23,coex_UTR,13,17,-0.0660633484162898
24,coex_STM,27,29,0.3517378215654079
25,coex_HRA,19,22,0.17178200490138873
26,coex_PRS,19,24,0.1606997144022846
27,coex_ATA,16,27,0.5197802197802197
28,coex_FIB,18,17,0.17871732026143783
29,coex_BRC,24,37,-0.0973311158628336
30,coex_ATT,17,26,0.28603658536585375
31,coex_TNV,20,23,0.25627261057299533
32,coex_SPL,22,24,0.01095191040843213
33,coex_LCL,15,9,-0.032608695652173836
34,coex_CLS,24,35,-0.034743107769423576
35,coex_EMC,20,26,0.06638795986622092
36,coex_CLT,25,37,0.17040976460331314
37,coex_core,25,32,0.31688940092165874
38,coex_WBL,20,15,0.28214285714285703
39,co-essential,5,9,-0.22884615384615392
40,GOBP,19,23,0.2049062049062047
41,ppi,49,49,-0.010204081632652962
42,reactome_copathway,13,17,0.3202973497091146
43,MP,10,10,0.945378151260504
44,HP,31,35,0.2201787459851976
45,GI_net,17,12,-0.004464285714285587
46,gene_gene_on_CbG_name_mapped,17,18,-0.1504668534080298
47,gene_gene_on_GcG_name_mapped,35,29,0.003556034482758541
48,GOMF,5,3,
