,Layer,Tetralogy_of_Fallot nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,37,29,-0.060323646530542785
1,coex_BST,28,20,0.09100543912973924
2,coex_OVR,31,25,0.08326001955034212
3,coex_LNG,35,30,0.4446115288220551
4,coex_ITI,36,24,0.015284503631961321
5,coex_VGN,35,27,0.1577733741668168
6,coex_HRV,14,15,0.14523809523809517
7,coex_MSG,37,28,0.10991238491238509
8,coex_ADV,28,22,0.21943216358109963
9,coex_EMS,29,20,0.22935382190701326
10,coex_SMU,26,19,0.11318038686459753
11,coex_ARG,26,21,-0.049177772582027934
12,coex_TST,37,24,-0.02987926451041223
13,coex_PIT,31,25,0.23444700460829493
14,coex_LVR,27,31,0.32242945613147334
15,coex_THY,29,21,0.01920750151240158
16,coex_PNC,24,23,-0.0670619235836627
17,coex_ATC,35,20,0.06558441558441563
18,coex_BRO,33,27,0.13282828282828296
19,coex_SKN,32,23,-0.021043771043770754
20,coex_ADS,22,19,0.3157894736842102
21,coex_GEJ,30,21,0.23724489795918347
22,coex_BRB,16,18,0.125
23,coex_UTR,29,19,0.2967710223835449
24,coex_STM,33,23,-0.13070652173913033
25,coex_HRA,34,20,-0.05147058823529438
26,coex_PRS,32,24,0.19226539589442826
27,coex_ATA,28,17,0.20231092436974762
28,coex_FIB,23,19,0.14679633867276887
29,coex_BRC,29,26,0.020127713920817136
30,coex_ATT,32,19,0.14111111111111097
31,coex_TNV,16,13,0.03846153846153877
32,coex_SPL,28,34,0.9460737350081614
33,coex_LCL,21,12,0.21266233766233755
34,coex_CLS,30,23,0.013262599469495928
35,coex_EMC,29,26,-0.038636704869626115
36,coex_CLT,30,24,-0.17361111111111116
37,coex_core,32,30,0.27937788018433163
38,coex_WBL,22,36,0.45324675324675345
39,co-essential,12,10,0.33040935672514626
40,GOBP,14,23,1.4090909090909092
41,ppi,50,50,0.31999999999999984
42,reactome_copathway,15,16,0.1762820512820511
43,MP,12,16,0.6466666666666665
44,HP,44,36,0.6989898989898988
45,GI_net,20,16,0.1333333333333333
46,gene_gene_on_CbG_name_mapped,2,13,-0.007692307692307665
47,gene_gene_on_GcG_name_mapped,36,30,0.03358585858585861
48,GOMF,5,2,
