,Layer,Neoplasm_of_lung nodes,Vitamin_K_deficiency nodes,sAB
0,coex_KDN,21,35,0.04404761904761889
1,coex_BST,17,22,-0.16481557658028256
2,coex_OVR,18,17,0.11718020541549956
3,coex_LNG,19,29,0.11510158374660051
4,coex_ITI,17,25,0.32644257703081214
5,coex_VGN,13,21,-0.05465367965367962
6,coex_HRV,10,18,-0.014488017429194144
7,coex_MSG,18,28,0.15648723257418906
8,coex_ADV,15,22,-0.11746031746031749
9,coex_EMS,13,21,-0.010450333979746151
10,coex_SMU,13,20,-0.1494755244755246
11,coex_ARG,17,22,-0.2968975468975472
12,coex_TST,21,32,-0.133900494159928
13,coex_PIT,15,29,-0.027063740856844376
14,coex_LVR,21,34,0.13275613275613285
15,coex_THY,14,23,-0.16493201275809977
16,coex_PNC,14,27,0.17499032133178494
17,coex_ATC,18,25,-0.2498971616618677
18,coex_BRO,15,29,-0.03463949843260172
19,coex_SKN,16,26,0.4466228893058162
20,coex_ADS,11,23,0.0024412927226231673
21,coex_GEJ,15,19,0.18825472772841234
22,coex_BRB,9,23,-0.225090579710145
23,coex_UTR,13,14,-0.032356532356532686
24,coex_STM,19,31,-0.22213921901528044
25,coex_HRA,16,23,-0.1065008361204014
26,coex_PRS,16,22,-0.11884652509652538
27,coex_ATA,15,22,-0.09426699426699425
28,coex_FIB,15,22,0.37157287157287167
29,coex_BRC,15,28,0.2837486157253599
30,coex_ATT,12,23,0.22696687370600444
31,coex_TNV,7,21,-0.13888888888888884
32,coex_SPL,19,35,0.06599832915622406
33,coex_LCL,13,14,-0.306282051282051
34,coex_CLS,17,29,-0.010274274627391833
35,coex_EMC,14,23,0.030303030303029832
36,coex_CLT,19,30,-0.1542344597413432
37,coex_core,16,28,0.04021164021163992
38,coex_WBL,17,23,-0.22204424103737574
39,co-essential,15,4,-0.22058823529411775
40,GOBP,13,19,0.6317204301075265
41,ppi,50,50,0.27
42,reactome_copathway,25,23,0.8930652680652682
43,MP,14,14,1.1005291005291005
44,HP,24,40,0.6145833333333335
45,GI_net,20,16,0.10070488721804471
46,gene_gene_on_CbG_name_mapped,21,21,0.11904761904761885
47,gene_gene_on_GcG_name_mapped,28,33,-0.04558760911219917
48,GOMF,4,7,
