,Layer,Skin_ulcer nodes,Macular_degeneration nodes,sAB
0,coex_KDN,36,31,0.0595008826833574
1,coex_BST,27,19,-0.08193882141250564
2,coex_OVR,35,26,0.06798829701372044
3,coex_LNG,32,27,0.3097465886939572
4,coex_ITI,33,33,-0.07575757575757569
5,coex_VGN,35,29,-0.0023809523809523725
6,coex_HRV,20,15,0.37863777089783257
7,coex_MSG,35,31,-0.0031001256807710043
8,coex_ADV,23,23,0.17391304347826075
9,coex_EMS,33,24,0.15252976190476142
10,coex_SMU,30,23,0.16320754716981134
11,coex_ARG,28,23,0.15338761767333198
12,coex_TST,35,34,-0.11715381804895864
13,coex_PIT,30,29,-0.04996103643093708
14,coex_LVR,31,29,0.12068965517241392
15,coex_THY,27,22,0.39139583820434876
16,coex_PNC,30,25,0.17966547386683995
17,coex_ATC,28,26,0.11142020104284267
18,coex_BRO,28,28,-0.0007455507455511601
19,coex_SKN,37,29,-0.09309779999435186
20,coex_ADS,30,24,0.044573866912696936
21,coex_GEJ,32,23,0.1826847484276728
22,coex_BRB,24,19,0.004304238858014564
23,coex_UTR,26,19,0.01542959964012569
24,coex_STM,34,24,0.10163116970926289
25,coex_HRA,25,26,0.19999999999999973
26,coex_PRS,33,25,0.33556547619047605
27,coex_ATA,28,22,0.21615818044389457
28,coex_FIB,24,22,-0.04800724637681175
29,coex_BRC,26,28,0.3395823254313819
30,coex_ATT,27,24,0.13058278867102402
31,coex_TNV,20,15,0.23217133743449558
32,coex_SPL,31,27,0.15817987063815808
33,coex_LCL,25,15,0.1069963369963367
34,coex_CLS,30,29,-0.07134502923976616
35,coex_EMC,35,26,0.1435056746532153
36,coex_CLT,28,31,0.23099078341013835
37,coex_core,36,32,0.23030303030303023
38,coex_WBL,30,26,-0.03756932722449946
39,co-essential,11,7,0.5454545454545454
40,GOBP,20,20,0.6842105263157894
41,ppi,50,49,0.3219583591012163
42,reactome_copathway,26,6,0.15530303030302983
43,MP,11,24,0.9980392156862745
44,HP,49,43,0.8155785064278491
45,GI_net,23,15,0.05079365079365061
46,gene_gene_on_CbG_name_mapped,7,9,0.039682539682539764
47,gene_gene_on_GcG_name_mapped,31,33,-0.12881842619745854
48,GOMF,3,7,
