,Layer,Retinoblastoma nodes,Nephroblastoma nodes,sAB
0,coex_KDN,45,44,-0.49486721144024526
1,coex_BST,42,31,-0.6562453969656799
2,coex_OVR,37,33,-0.643231543231543
3,coex_LNG,40,37,-0.5767330642330639
4,coex_ITI,43,41,-0.4879061664370796
5,coex_VGN,38,40,-0.31904520917678814
6,coex_HRV,17,16,-0.8844362745098042
7,coex_MSG,42,41,-0.3129066789807313
8,coex_ADV,33,29,-0.6822445590729229
9,coex_EMS,39,33,-0.4805749805749806
10,coex_SMU,36,31,-0.44672470978441114
11,coex_ARG,37,30,-0.3462014253059029
12,coex_TST,45,42,-0.32058018609742756
13,coex_PIT,38,35,-0.3737254094139457
14,coex_LVR,36,35,-0.33640733288620606
15,coex_THY,36,27,-0.75
16,coex_PNC,37,34,-0.5418784567500394
17,coex_ATC,43,34,-0.3822933227344991
18,coex_BRO,36,33,-0.2944240196078429
19,coex_SKN,38,37,-0.32281650071123735
20,coex_ADS,33,25,-1.4450839920948617
21,coex_GEJ,33,33,-0.6949082167832168
22,coex_BRB,21,15,-0.8571428571428572
23,coex_UTR,39,32,-0.5241513181654027
24,coex_STM,41,40,-0.3572116832279435
25,coex_HRA,37,30,-0.3322710770471966
26,coex_PRS,36,33,-0.6728151075977162
27,coex_ATA,37,32,-0.5255643823891294
28,coex_FIB,37,34,-0.3293650793650795
29,coex_BRC,41,32,-0.32749853825593056
30,coex_ATT,38,31,-0.4908528333456361
31,coex_TNV,19,18,-0.9999999999999996
32,coex_SPL,40,37,-0.4835731835731836
33,coex_LCL,37,31,-0.4566772655007949
34,coex_CLS,38,37,-0.5663624150466255
35,coex_EMC,39,38,-0.4549967576283367
36,coex_CLT,39,41,-0.38883677298311436
37,coex_core,43,40,-0.3376856262258334
38,coex_WBL,39,32,-0.4998702148790177
39,co-essential,23,21,-0.727631578947368
40,GOBP,5,4,-1.2678571428571432
41,ppi,50,48,-0.27707482993197274
42,reactome_copathway,34,20,-0.3524955436720143
43,MP,9,13,-0.4188596491228074
44,HP,37,41,-0.19850068630556428
45,GI_net,38,32,-0.5272907900888266
46,gene_gene_on_CbG_name_mapped,12,7,-1.024122807017544
47,gene_gene_on_GcG_name_mapped,33,37,-0.320884520884521
48,GOMF,3,2,
