,Layer,Conjunctivitis nodes,Erysipelas nodes,sAB
0,coex_KDN,40,39,-0.25458049334631605
1,coex_BST,27,19,-0.32891903531438427
2,coex_OVR,31,27,-0.2626705653021444
3,coex_LNG,35,35,-0.14268055048106199
4,coex_ITI,36,33,-0.09027777777777768
5,coex_VGN,35,30,-0.2431259860265944
6,coex_HRV,19,19,-0.0047299621603027475
7,coex_MSG,38,33,-0.03843475526203455
8,coex_ADV,27,30,-0.05512820512820493
9,coex_EMS,30,28,-0.3292464878671779
10,coex_SMU,27,22,-0.1155260083831513
11,coex_ARG,29,24,-0.3364779874213839
12,coex_TST,33,33,2.220446049250313e-16
13,coex_PIT,33,29,-0.22904237031044605
14,coex_LVR,28,39,-0.0019955169208898393
15,coex_THY,34,29,0.0411394442834605
16,coex_PNC,29,24,-0.11818129396840016
17,coex_ATC,32,32,-0.1875
18,coex_BRO,32,31,-0.12749615975422435
19,coex_SKN,32,31,-0.09498207885304666
20,coex_ADS,29,28,-0.1885316740126175
21,coex_GEJ,35,32,0.03356876332622605
22,coex_BRB,22,22,-0.2727272727272725
23,coex_UTR,26,22,-0.3068561872909701
24,coex_STM,30,30,-0.2019774011299431
25,coex_HRA,25,22,-0.29092843326885887
26,coex_PRS,33,24,-0.37791737248259016
27,coex_ATA,29,30,-0.13714202220923433
28,coex_FIB,23,18,-0.27070814186402736
29,coex_BRC,25,22,-0.11468085106382997
30,coex_ATT,31,28,-0.18031906584394264
31,coex_TNV,18,24,-0.2430555555555558
32,coex_SPL,36,34,-0.11748366013071876
33,coex_LCL,29,15,-0.27407407407407436
34,coex_CLS,33,27,-0.028451178451178283
35,coex_EMC,36,31,0.01741293532338295
36,coex_CLT,37,29,-0.03519430760810072
37,coex_core,42,36,0.006432748538011568
38,coex_WBL,38,34,-0.05022359821121425
39,co-essential,5,8,-0.4642857142857144
40,GOBP,21,18,0.45039682539682513
41,ppi,50,50,0.10000000000000009
42,reactome_copathway,26,22,-0.029166666666666785
43,MP,16,18,-0.125
44,HP,46,34,0.09629156010230178
45,GI_net,21,22,-0.1452671312427407
46,gene_gene_on_CbG_name_mapped,9,12,-0.4246031746031744
47,gene_gene_on_GcG_name_mapped,35,26,-0.11238515582777886
48,GOMF,6,8,-0.75
