,Layer,myoclonic_epilepsy nodes,Bronchiolitis nodes,sAB
0,coex_KDN,37,35,0.17293007293007268
1,coex_BST,29,20,0.1578347464405696
2,coex_OVR,26,27,0.05947965381927656
3,coex_LNG,34,35,0.25
4,coex_ITI,35,32,0.20505765581666902
5,coex_VGN,32,26,-0.18609084880636617
6,coex_HRV,13,19,1.7071103238866394
7,coex_MSG,33,28,0.1485167837626855
8,coex_ADV,30,21,0.20840336134453752
9,coex_EMS,28,24,0.3370326391426137
10,coex_SMU,29,24,0.1571784862285841
11,coex_ARG,33,24,0.2007575757575757
12,coex_TST,38,30,0.15773993808049536
13,coex_PIT,36,31,0.12927967688439534
14,coex_LVR,30,27,-0.054288499025341164
15,coex_THY,30,28,0.7896551724137932
16,coex_PNC,35,22,0.3547619047619044
17,coex_ATC,30,28,0.22884990253411308
18,coex_BRO,39,30,0.4102920063927187
19,coex_SKN,30,27,-0.05555555555555536
20,coex_ADS,26,23,0.1167391304347829
21,coex_GEJ,28,24,-0.008932866075722856
22,coex_BRB,27,23,0.532979066022544
23,coex_UTR,25,17,-0.09871951219512187
24,coex_STM,33,25,0.28149920255183414
25,coex_HRA,29,24,0.28483517675124714
26,coex_PRS,26,23,0.24664918414918402
27,coex_ATA,31,24,0.2583333333333333
28,coex_FIB,26,18,0.07905398295275168
29,coex_BRC,38,22,0.10336067963186624
30,coex_ATT,29,24,0.592319995662546
31,coex_TNV,18,16,0.29038978494623624
32,coex_SPL,31,31,0.22580645161290303
33,coex_LCL,20,21,0.04989878542510118
34,coex_CLS,34,25,0.07091724825523404
35,coex_EMC,30,29,-0.07009546074420414
36,coex_CLT,30,25,0.08472222222222237
37,coex_core,33,34,0.48484848484848486
38,coex_WBL,24,35,0.22713826910074397
39,co-essential,8,6,0.2767857142857144
40,GOBP,21,18,0.9861111111111112
41,ppi,48,49,0.23450540009818344
42,reactome_copathway,16,26,0.47460829493087564
43,MP,11,14,3.982954545454546
44,HP,43,27,0.9381567614125754
45,GI_net,15,21,-0.005952380952380931
46,gene_gene_on_CbG_name_mapped,14,15,0.41674876847290654
47,gene_gene_on_GcG_name_mapped,35,34,0.13235294117647056
48,GOMF,7,2,
