,Layer,Colonic_neoplasm nodes,Carcinoma_of_pancreas nodes,sAB
0,coex_KDN,33,42,-0.2986057010447254
1,coex_BST,20,35,-0.372077922077922
2,coex_OVR,17,37,-0.4449155037390331
3,coex_LNG,28,40,-0.4160102266445551
4,coex_ITI,28,39,-0.31441009239516715
5,coex_VGN,23,40,-0.41388026224982744
6,coex_HRV,15,18,-0.3287878787878791
7,coex_MSG,28,42,-0.15000000000000013
8,coex_ADV,18,33,-0.5292632204396912
9,coex_EMS,22,34,0.11793353705118403
10,coex_SMU,17,29,-0.5909090909090908
11,coex_ARG,19,29,-0.5317226255293404
12,coex_TST,24,39,-0.2773962148962148
13,coex_PIT,25,36,-0.18351346925407364
14,coex_LVR,26,33,-0.375982774287859
15,coex_THY,20,32,-0.6955407969639467
16,coex_PNC,21,35,-0.4249999999999998
17,coex_ATC,26,38,-0.26256830601092895
18,coex_BRO,21,35,-0.3476190476190475
19,coex_SKN,23,41,-0.16473356309650056
20,coex_ADS,17,26,-1.155056298011154
21,coex_GEJ,24,35,-0.2885314308789877
22,coex_BRB,16,20,-0.45138888888888884
23,coex_UTR,16,31,-0.3825181159420288
24,coex_STM,27,39,-0.4009324009324011
25,coex_HRA,19,32,-0.5283080974325216
26,coex_PRS,20,36,-0.454452418926103
27,coex_ATA,20,29,-0.8541666666666665
28,coex_FIB,20,31,-0.2836495888678052
29,coex_BRC,20,34,-0.41808278867102433
30,coex_ATT,18,31,-0.48264842141386444
31,coex_TNV,15,21,-0.8488266119845069
32,coex_SPL,22,34,-0.45244461420932014
33,coex_LCL,16,28,-0.38843721770551043
34,coex_CLS,32,38,-0.38519736842105257
35,coex_EMC,25,38,-0.17618333690297705
36,coex_CLT,26,39,-0.1979699248120299
37,coex_core,24,40,-0.428476535541753
38,coex_WBL,28,32,-0.4415178571428573
39,co-essential,13,19,-0.6749999999999998
40,GOBP,9,11,0.04166666666666652
41,ppi,50,49,-0.08982477839620695
42,reactome_copathway,28,32,-0.04855034608854636
43,MP,17,15,0.004337218758470929
44,HP,21,34,-0.13986013986014
45,GI_net,26,31,-0.15123416481650787
46,gene_gene_on_CbG_name_mapped,22,13,-0.12752247752247747
47,gene_gene_on_GcG_name_mapped,30,33,-0.31847041847041857
48,GOMF,3,3,
