,Layer,Nephrotic_syndrome nodes,Kidney_failure nodes,sAB
0,coex_KDN,43,47,-0.4851228764637967
1,coex_BST,22,26,-0.7813926499032884
2,coex_OVR,31,28,-0.7216960868546436
3,coex_LNG,33,29,-0.551467990390051
4,coex_ITI,39,32,-0.5142384497223205
5,coex_VGN,32,31,-0.6000000000000001
6,coex_HRV,18,14,-0.6024951750758201
7,coex_MSG,35,34,-0.5962672025331874
8,coex_ADV,26,25,-0.6025641025641024
9,coex_EMS,20,27,-0.6326383591829818
10,coex_SMU,26,22,-0.7868589743589742
11,coex_ARG,23,27,-0.7255363683935112
12,coex_TST,38,37,-0.5332716927453769
13,coex_PIT,31,32,-0.28613831285202274
14,coex_LVR,36,30,-0.3007575757575758
15,coex_THY,25,26,-0.6039517345399701
16,coex_PNC,25,27,-0.46794871794871806
17,coex_ATC,30,31,-0.7010752688172044
18,coex_BRO,29,28,-0.7312726260094684
19,coex_SKN,29,29,-0.6654135338345866
20,coex_ADS,22,21,-0.6780177187153931
21,coex_GEJ,20,27,-1.0808249721293195
22,coex_BRB,27,19,-0.6816201227965935
23,coex_UTR,25,25,-1.1881632653061227
24,coex_STM,34,30,-0.4585171568627451
25,coex_HRA,26,25,-0.9020512820512823
26,coex_PRS,28,25,-0.7302585604472396
27,coex_ATA,30,27,-0.8583820662768034
28,coex_FIB,23,25,-0.5489953886693015
29,coex_BRC,28,28,-0.6724627224627224
30,coex_ATT,28,26,-1.0769230769230766
31,coex_TNV,17,16,-0.6689950980392156
32,coex_SPL,37,30,-0.6226300927793462
33,coex_LCL,15,17,-0.46619106699751867
34,coex_CLS,33,34,-0.6768883689839571
35,coex_EMC,28,28,-0.6723905723905723
36,coex_CLT,35,34,-0.38970588235294135
37,coex_core,35,31,-0.5133736720871866
38,coex_WBL,28,23,-0.4694008037997808
39,co-essential,6,5,-0.09999999999999964
40,GOBP,14,13,0.11679487179487191
41,ppi,50,50,-0.30000000000000004
42,reactome_copathway,30,12,-0.6135531135531136
43,MP,14,16,0.20505952380952408
44,HP,40,47,-0.1720928099779897
45,GI_net,17,13,-0.3589204912734325
46,gene_gene_on_CbG_name_mapped,9,8,0.05596405228758172
47,gene_gene_on_GcG_name_mapped,28,32,-0.37366071428571446
48,GOMF,2,1,
