,Layer,Infection_of_bone nodes,Urinary_bladder_inflammation nodes,sAB
0,coex_KDN,36,35,-0.5655264922870558
1,coex_BST,19,18,-0.43014705882352944
2,coex_OVR,23,25,-0.7138878143133465
3,coex_LNG,31,27,-0.60752688172043
4,coex_ITI,34,33,-0.5151515151515151
5,coex_VGN,27,26,-0.4736199095022624
6,coex_HRV,22,17,-0.5066287878787881
7,coex_MSG,31,27,-0.40963210151196816
8,coex_ADV,25,21,-1.0248447204968945
9,coex_EMS,25,21,-0.9749572133293065
10,coex_SMU,18,19,-0.8133791686423266
11,coex_ARG,19,24,-0.5089285714285714
12,coex_TST,25,26,-0.5273755656108599
13,coex_PIT,24,30,-0.787037037037037
14,coex_LVR,29,24,-0.797457040710414
15,coex_THY,24,22,-0.9338768115942027
16,coex_PNC,23,22,-0.8501537110232766
17,coex_ATC,27,29,-0.6700937950937951
18,coex_BRO,23,31,-0.28582930756843794
19,coex_SKN,22,26,-0.7191142191142192
20,coex_ADS,25,23,-0.20429400386847218
21,coex_GEJ,27,19,-0.7210780574624966
22,coex_BRB,20,22,-0.2812770562770561
23,coex_UTR,13,18,-0.8139880952380953
24,coex_STM,29,25,-0.551212938005391
25,coex_HRA,21,19,-0.5617591275486014
26,coex_PRS,22,19,-0.43433583959899713
27,coex_ATA,20,27,-0.5434782608695652
28,coex_FIB,12,16,-0.7202380952380956
29,coex_BRC,19,24,-0.5970905524681269
30,coex_ATT,17,22,-0.697700132684653
31,coex_TNV,16,17,-0.8137096774193551
32,coex_SPL,33,27,-0.8687617702448212
33,coex_LCL,17,15,-0.6150537634408599
34,coex_CLS,29,24,-0.755265567765568
35,coex_EMC,29,24,-0.6882447665056359
36,coex_CLT,30,31,-0.5664441972562106
37,coex_core,33,29,-0.3053392658509453
38,coex_WBL,32,24,-0.22916666666666652
39,co-essential,8,10,-1.5708333333333333
40,GOBP,17,5,0.1277089783281733
41,ppi,50,50,-0.30999999999999983
42,reactome_copathway,24,26,-0.7563195146612742
43,MP,11,7,-0.9018759018759019
44,HP,36,25,-0.3677686703096539
45,GI_net,23,22,-0.7272727272727273
46,gene_gene_on_CbG_name_mapped,18,19,-0.5189268215584006
47,gene_gene_on_GcG_name_mapped,30,31,-0.5581702802749868
48,GOMF,6,3,
