,Layer,Gingival_disorder nodes,Diarrhea nodes,sAB
0,coex_KDN,40,25,0.05038461538461525
1,coex_BST,21,11,0.036217008797654326
2,coex_OVR,34,7,-0.14746874359499884
3,coex_LNG,36,14,-0.3346938775510204
4,coex_ITI,38,29,0.14529891377955972
5,coex_VGN,32,9,-0.028125000000000178
6,coex_HRV,20,6,-0.405128205128205
7,coex_MSG,35,15,0.04857142857142849
8,coex_ADV,36,11,0.015151515151515138
9,coex_EMS,30,7,-0.3084291187739465
10,coex_SMU,32,8,-0.11874999999999991
11,coex_ARG,30,9,0.48931623931623935
12,coex_TST,33,18,0.20320855614973254
13,coex_PIT,34,10,-0.13716577540106933
14,coex_LVR,40,13,0.27564102564102555
15,coex_THY,33,16,0.21354166666666652
16,coex_PNC,30,12,0.39285714285714235
17,coex_ATC,29,11,-0.2278213166144205
18,coex_BRO,28,14,0.3988095238095237
19,coex_SKN,35,7,0.15054314408690317
20,coex_ADS,27,5,-0.39423076923076916
21,coex_GEJ,28,13,-0.08333333333333348
22,coex_BRB,22,7,0.662225705329154
23,coex_UTR,29,6,0.4419642857142856
24,coex_STM,36,16,0.42387820512820484
25,coex_HRA,27,8,-0.18664021164021172
26,coex_PRS,34,6,-0.1710784313725493
27,coex_ATA,29,6,-0.16785714285714315
28,coex_FIB,27,7,-0.5535325241207592
29,coex_BRC,30,10,0.39575596816976155
30,coex_ATT,30,6,-0.5308316430020286
31,coex_TNV,21,12,0.9848484848484853
32,coex_SPL,43,18,0.11660736222306944
33,coex_LCL,23,10,0.10681818181818148
34,coex_CLS,31,23,0.5360541427399508
35,coex_EMC,32,15,0.10607531055900576
36,coex_CLT,35,23,0.3337890179995444
37,coex_core,38,17,0.22972972972972983
38,coex_WBL,35,16,0.2590561224489796
39,co-essential,14,4,0.9810924369747895
40,GOBP,18,22,1.3579365079365076
41,ppi,49,49,0.05102040816326525
42,reactome_copathway,26,18,0.1327255726975225
43,MP,12,18,-0.5348583877995643
44,HP,46,44,0.335935441370224
45,GI_net,23,15,-0.445238095238095
46,gene_gene_on_CbG_name_mapped,8,12,0.00416666666666643
47,gene_gene_on_GcG_name_mapped,25,30,-0.12121212121212133
48,GOMF,3,6,-1.1666666666666667
