,Layer,Inflammatory_bowel_disease nodes,Celiac_disease nodes,sAB
0,coex_KDN,36,32,-0.1791258169934642
1,coex_BST,20,17,0.23883147853736109
2,coex_OVR,28,23,-0.40045365972475944
3,coex_LNG,32,28,-0.09056471139576638
4,coex_ITI,36,29,-0.16938549955791316
5,coex_VGN,27,21,-0.15641534391534395
6,coex_HRV,18,14,-0.25826782325833575
7,coex_MSG,34,28,-0.0672607752778529
8,coex_ADV,27,18,-0.18353174603174605
9,coex_EMS,23,21,-0.3330086580086582
10,coex_SMU,22,17,-0.341208133971292
11,coex_ARG,21,14,-0.2867965367965368
12,coex_TST,24,23,-0.35938945420906565
13,coex_PIT,28,21,-0.4117063492063493
14,coex_LVR,33,21,-0.1544011544011541
15,coex_THY,21,23,-0.32034632034632016
16,coex_PNC,23,22,-0.32288725766986603
17,coex_ATC,31,24,-0.10177174975562053
18,coex_BRO,27,24,-0.340958605664488
19,coex_SKN,28,21,-0.32605820105820094
20,coex_ADS,20,19,-0.07894736842105265
21,coex_GEJ,25,22,-0.22241436100131762
22,coex_BRB,21,16,-0.3769707207207209
23,coex_UTR,18,12,-0.2919202163624073
24,coex_STM,31,27,-0.43986354775828485
25,coex_HRA,21,18,-0.3861416361416361
26,coex_PRS,25,23,-0.36086956521739144
27,coex_ATA,28,26,-0.4239926739926738
28,coex_FIB,15,17,-0.07585784313725474
29,coex_BRC,25,20,-0.39090909090909065
30,coex_ATT,26,22,-0.4440052700922268
31,coex_TNV,19,17,-0.13766339869281063
32,coex_SPL,31,31,-0.12903225806451624
33,coex_LCL,22,16,-0.05317460317460321
34,coex_CLS,31,21,-0.24249589490968804
35,coex_EMC,28,26,-0.22115384615384603
36,coex_CLT,32,23,-0.2891180830039526
37,coex_core,36,34,-0.03648618538324411
38,coex_WBL,32,29,-0.1322916666666667
39,co-essential,8,5,-0.3619047619047615
40,GOBP,21,18,0.4572580645161288
41,ppi,49,49,0.020408163265306145
42,reactome_copathway,21,19,-0.21052631578947345
43,MP,19,15,-0.5343434343434339
44,HP,30,26,0.07573260073260091
45,GI_net,25,15,-0.055294486215538896
46,gene_gene_on_CbG_name_mapped,7,11,-0.06637806637806642
47,gene_gene_on_GcG_name_mapped,29,30,-0.23811611143580746
48,GOMF,8,15,-0.5
