,Layer,Low_back_pain nodes,Cerebral_palsy nodes,sAB
0,coex_KDN,35,41,0.09515862827801191
1,coex_BST,25,30,-0.07969696969696982
2,coex_OVR,28,31,-0.05811138014527817
3,coex_LNG,36,35,0.02857142857142847
4,coex_ITI,32,38,-0.06270761054107932
5,coex_VGN,31,32,-0.09358198924731176
6,coex_HRV,22,17,0.00020567667626458785
7,coex_MSG,34,36,-0.04512138188608761
8,coex_ADV,25,30,0.08181818181818157
9,coex_EMS,28,29,0.02980751687648242
10,coex_SMU,27,30,0.2793372319688108
11,coex_ARG,22,30,-0.11767779211998275
12,coex_TST,31,40,0.12908337119491153
13,coex_PIT,32,39,0.12055909172986623
14,coex_LVR,31,31,-0.09677419354838701
15,coex_THY,26,27,0.16834757834757852
16,coex_PNC,29,31,0.289859102706711
17,coex_ATC,26,32,-0.12690649867374004
18,coex_BRO,33,37,-0.14054054054054044
19,coex_SKN,26,33,-0.16700248903638704
20,coex_ADS,22,28,-0.04675324675324655
21,coex_GEJ,29,28,0.04041475765613667
22,coex_BRB,23,27,0.18882275132275117
23,coex_UTR,22,30,0.004118261724752603
24,coex_STM,30,35,0.08736263736263727
25,coex_HRA,27,32,0.014136904761904878
26,coex_PRS,32,31,0.14516129032258052
27,coex_ATA,26,24,-0.1648469387755105
28,coex_FIB,25,27,0.3872079772079773
29,coex_BRC,25,32,-0.06057603686635993
30,coex_ATT,25,32,0.0802412280701752
31,coex_TNV,24,17,0.15516733008993056
32,coex_SPL,31,33,0.04883003421309873
33,coex_LCL,19,24,-0.05757575757575761
34,coex_CLS,31,33,-0.04747474747474767
35,coex_EMC,27,33,-0.17847971237801752
36,coex_CLT,30,34,-0.06264689783959554
37,coex_core,34,33,-0.16870629370629375
38,coex_WBL,32,28,0.2238095238095239
39,co-essential,5,12,-0.15980392156862733
40,GOBP,16,21,1.015583313121513
41,ppi,50,50,0.15999999999999992
42,reactome_copathway,24,19,-0.05931677018633552
43,MP,13,13,0.505536130536131
44,HP,32,42,0.33506944444444464
45,GI_net,23,23,-0.09265010351966874
46,gene_gene_on_CbG_name_mapped,12,8,0.10833333333333339
47,gene_gene_on_GcG_name_mapped,29,31,0.0294957360029664
48,GOMF,5,5,
