,Layer,Migraine nodes,Trigeminal_neuralgia nodes,sAB
0,coex_KDN,27,39,-0.06980056980057014
1,coex_BST,21,25,-0.28966507177033485
2,coex_OVR,21,26,-0.1371483126802273
3,coex_LNG,23,32,-0.2418990976210007
4,coex_ITI,22,36,-0.024251132009752707
5,coex_VGN,23,28,0.02463159176714158
6,coex_HRV,13,21,-0.4147435897435896
7,coex_MSG,24,35,-0.07739104116222761
8,coex_ADV,18,25,-0.29307493540051643
9,coex_EMS,20,24,0.004545454545454408
10,coex_SMU,18,22,-0.2982323232323232
11,coex_ARG,19,25,-0.08785529715762275
12,coex_TST,24,39,-0.14522283272283265
13,coex_PIT,24,37,-0.18081113801452786
14,coex_LVR,25,27,0.05863247863247856
15,coex_THY,19,28,-0.17237242041273415
16,coex_PNC,18,22,-0.38712121212121176
17,coex_ATC,23,27,-0.14573268921095028
18,coex_BRO,24,37,0.06747526214739308
19,coex_SKN,21,25,-0.023611111111111027
20,coex_ADS,19,26,-0.38545454545454527
21,coex_GEJ,18,29,-0.04391921686215694
22,coex_BRB,19,31,-0.12279643040011745
23,coex_UTR,18,21,-0.08712958867757647
24,coex_STM,25,33,0.15636363636363626
25,coex_HRA,16,26,-0.34901556776556797
26,coex_PRS,17,23,-0.04489164086687314
27,coex_ATA,20,25,-0.4094444444444445
28,coex_FIB,14,26,0.018681318681318615
29,coex_BRC,21,37,0.057142857142857384
30,coex_ATT,21,26,-0.0821428571428573
31,coex_TNV,12,19,0.18333333333333313
32,coex_SPL,20,25,-0.3666666666666665
33,coex_LCL,7,14,-0.0733082706766921
34,coex_CLS,24,29,0.03025374105400136
35,coex_EMC,24,31,-0.05895650048875867
36,coex_CLT,25,30,-0.0819444444444446
37,coex_core,24,35,0.028631961259079963
38,coex_WBL,18,30,0.6884021693783895
39,co-essential,7,12,-1.4725829725829724
40,GOBP,20,7,0.46101190476190457
41,ppi,42,49,-0.08765044479330197
42,reactome_copathway,25,26,1.3238513721862475
43,MP,12,8,0.8499278499278495
44,HP,37,33,0.10847606499780404
45,GI_net,19,27,-0.1777777777777776
46,gene_gene_on_CbG_name_mapped,9,18,0.07407407407407418
47,gene_gene_on_GcG_name_mapped,25,34,-0.3402392821535394
48,GOMF,7,2,
