,Layer,Retinoblastoma nodes,Glioma nodes,sAB
0,coex_KDN,45,37,-0.38912326961107446
1,coex_BST,42,24,-0.32765151515151514
2,coex_OVR,37,23,-0.4165347936534376
3,coex_LNG,40,31,-0.518179236710586
4,coex_ITI,43,37,-0.23349308610936537
5,coex_VGN,38,30,-0.2493808049535604
6,coex_HRV,17,12,-0.4628127112914129
7,coex_MSG,42,34,-0.25796107916850963
8,coex_ADV,33,22,-0.34643308080808133
9,coex_EMS,39,25,-0.4364903846153845
10,coex_SMU,36,25,-0.4581511839708561
11,coex_ARG,37,20,-0.25101944049312475
12,coex_TST,45,36,-0.3422839506172841
13,coex_PIT,38,30,-0.17982456140350878
14,coex_LVR,36,26,-0.15091074681238625
15,coex_THY,36,27,-0.7579365079365084
16,coex_PNC,37,25,-0.29646033129904126
17,coex_ATC,43,29,-0.4446428571428571
18,coex_BRO,36,30,-0.19545454545454555
19,coex_SKN,38,28,-0.37206652996126666
20,coex_ADS,33,27,-0.5200635593220335
21,coex_GEJ,33,24,-0.4639154704944177
22,coex_BRB,21,25,-0.08035714285714235
23,coex_UTR,39,19,-0.538349077822762
24,coex_STM,41,34,-0.24428503108560484
25,coex_HRA,37,19,-0.45897683397683386
26,coex_PRS,36,21,-0.46031746031746024
27,coex_ATA,37,27,-0.19177350427350426
28,coex_FIB,37,25,-0.37992714025500907
29,coex_BRC,41,31,-0.36081606783809805
30,coex_ATT,38,27,-0.18851214574898778
31,coex_TNV,19,22,-0.7017488076311609
32,coex_SPL,40,27,-0.4818684355997789
33,coex_LCL,37,20,-0.3330962541488858
34,coex_CLS,38,30,-0.35730151420754663
35,coex_EMC,39,29,-0.22974202943776967
36,coex_CLT,39,36,-0.29726495726495705
37,coex_core,43,33,-0.31382367122881205
38,coex_WBL,39,30,-0.27848383500557405
39,co-essential,23,13,-0.47446236559139754
40,GOBP,5,8,-0.21590909090909083
41,ppi,50,49,-0.20317254174397048
42,reactome_copathway,34,27,-0.19703239289446173
43,MP,9,12,-0.5757575757575761
44,HP,37,25,-0.32347350914706574
45,GI_net,38,29,-0.43187830687830675
46,gene_gene_on_CbG_name_mapped,12,15,0.03240740740740744
47,gene_gene_on_GcG_name_mapped,33,26,-0.21127177906838934
48,GOMF,3,3,
