,Layer,myoclonic_epilepsy nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,37,29,-0.2269903131972093
1,coex_BST,29,20,-0.14227723564229722
2,coex_OVR,26,25,0.15371794871794875
3,coex_LNG,34,30,0.22849898580121675
4,coex_ITI,35,24,-0.012043610547667338
5,coex_VGN,32,27,-0.032244694960212206
6,coex_HRV,13,15,0.4415830546265327
7,coex_MSG,33,28,-0.07484387197501952
8,coex_ADV,30,22,0.02297464440321617
9,coex_EMS,28,20,-0.03809523809523818
10,coex_SMU,29,19,0.11044313369631009
11,coex_ARG,33,21,-0.18879268879268873
12,coex_TST,38,24,-0.10812818336162988
13,coex_PIT,36,25,0.11498178506375223
14,coex_LVR,30,31,-0.099630541871921
15,coex_THY,30,21,-0.15161117078410324
16,coex_PNC,35,23,-0.026279717284214854
17,coex_ATC,30,20,0.0033333333333334103
18,coex_BRO,39,27,-0.06907332433648206
19,coex_SKN,30,23,-0.22902097902097873
20,coex_ADS,26,19,-0.021626794258373216
21,coex_GEJ,28,21,-0.16435185185185164
22,coex_BRB,27,18,-0.11727497846683921
23,coex_UTR,25,19,-0.08440191387559803
24,coex_STM,33,23,-0.159467344249953
25,coex_HRA,29,20,-0.2791168191414495
26,coex_PRS,26,24,-0.3436538461538463
27,coex_ATA,31,17,0.1441802252816018
28,coex_FIB,26,19,-0.19087185764052372
29,coex_BRC,38,26,-0.04852659110723634
30,coex_ATT,29,19,0.3304801499959238
31,coex_TNV,18,13,0.13337201591511905
32,coex_SPL,31,34,0.7173906402737047
33,coex_LCL,20,12,-0.10179683078664414
34,coex_CLS,34,23,-0.08384932920536659
35,coex_EMC,30,26,0.0866096866096866
36,coex_CLT,30,24,-0.049537037037036935
37,coex_core,33,30,0.020376175548589393
38,coex_WBL,24,36,0.09094611528822094
39,co-essential,8,10,0.22263071895424824
40,GOBP,21,23,0.8214840714840714
41,ppi,48,50,0.20008503401360556
42,reactome_copathway,16,16,0.5430402930402929
43,MP,11,16,1.5041666666666664
44,HP,43,36,0.7755454158898374
45,GI_net,15,16,0.16666666666666652
46,gene_gene_on_CbG_name_mapped,14,13,0.07061457061457066
47,gene_gene_on_GcG_name_mapped,35,30,-0.020772058823529393
48,GOMF,7,2,
