,Layer,Vitiligo nodes,Hyperpigmentation_of_the_skin nodes,sAB
0,coex_KDN,36,37,0.20833333333333348
1,coex_BST,20,31,0.2467267552182162
2,coex_OVR,27,37,0.1728789228789227
3,coex_LNG,31,34,0.4142460954605167
4,coex_ITI,32,36,0.12581699346405228
5,coex_VGN,28,37,0.18376150876150854
6,coex_HRV,16,15,-0.04583333333333339
7,coex_MSG,28,40,-0.04758403361344543
8,coex_ADV,20,30,0.43166666666666664
9,coex_EMS,22,31,-0.06841697559895943
10,coex_SMU,20,32,0.08461538461538476
11,coex_ARG,21,34,0.08905228758169947
12,coex_TST,31,38,0.011564676066041724
13,coex_PIT,24,35,0.23165560077104308
14,coex_LVR,25,34,-0.08242273180458604
15,coex_THY,25,30,0.3787878787878789
16,coex_PNC,22,30,-0.08067226890756318
17,coex_ATC,26,37,0.24262475875379108
18,coex_BRO,29,32,0.49273070944036146
19,coex_SKN,26,35,0.1675013511079082
20,coex_ADS,23,26,0.46201160541586095
21,coex_GEJ,22,36,0.060606060606060996
22,coex_BRB,21,18,0.17551669316375218
23,coex_UTR,16,30,0.1283524904214559
24,coex_STM,27,36,0.2777433140336365
25,coex_HRA,19,33,0.23416537667698645
26,coex_PRS,20,30,0.058333333333333126
27,coex_ATA,26,29,0.18192918192918173
28,coex_FIB,17,29,0.14375165358497233
29,coex_BRC,24,31,0.024217986314760243
30,coex_ATT,27,30,0.07418810436051793
31,coex_TNV,18,21,0.3138138138138138
32,coex_SPL,30,34,0.14564950980392144
33,coex_LCL,18,30,0.2756153525239884
34,coex_CLS,25,33,0.01582027168234057
35,coex_EMC,27,36,0.027391460998018147
36,coex_CLT,29,36,0.0062923666371941245
37,coex_core,30,39,0.11800825593395237
38,coex_WBL,32,34,0.2811942959001783
39,co-essential,7,12,0.583333333333333
40,GOBP,17,25,1.5285714285714294
41,ppi,49,48,0.06231371414545217
42,reactome_copathway,17,23,0.7010732323232323
43,MP,17,17,0.698774509803922
44,HP,37,45,0.541309602285212
45,GI_net,13,34,0.15984848484848513
46,gene_gene_on_CbG_name_mapped,6,11,0.07174688057041001
47,gene_gene_on_GcG_name_mapped,24,30,-0.02503524181305572
48,GOMF,9,8,
