,Layer,Orthostatic_hypotension nodes,West_syndrome nodes,sAB
0,coex_KDN,31,40,0.07998069059518409
1,coex_BST,20,30,-0.20000000000000018
2,coex_OVR,23,29,-0.004497751124437954
3,coex_LNG,23,32,-0.14634387351778644
4,coex_ITI,31,35,0.12006702974444905
5,coex_VGN,28,34,0.03754404987801574
6,coex_HRV,11,19,-0.05757575757575761
7,coex_MSG,29,33,-0.10641453466814976
8,coex_ADV,21,28,-0.2523809523809524
9,coex_EMS,23,33,-0.00108225108225124
10,coex_SMU,19,32,-0.056098426212590535
11,coex_ARG,23,34,0.33336516424751705
12,coex_TST,30,40,-0.03392857142857153
13,coex_PIT,31,42,0.11773246638469792
14,coex_LVR,24,31,0.1801075268817205
15,coex_THY,21,30,0.10042016806722653
16,coex_PNC,25,33,-0.2047021943573668
17,coex_ATC,25,31,-0.007396313364055329
18,coex_BRO,31,40,0.04575209736500052
19,coex_SKN,22,35,-0.04211229946524053
20,coex_ADS,19,21,-0.551315789473684
21,coex_GEJ,24,31,-0.14975845410628041
22,coex_BRB,23,21,0.19268774703557323
23,coex_UTR,20,26,0.016387959866221102
24,coex_STM,29,33,0.17391377624970517
25,coex_HRA,21,32,-0.15223490712074317
26,coex_PRS,18,28,0.1362146307798482
27,coex_ATA,25,31,-0.002580645161290196
28,coex_FIB,18,28,0.0482229123533473
29,coex_BRC,24,41,0.10520833333333313
30,coex_ATT,22,32,0.16919191919191867
31,coex_TNV,22,18,0.09545923632610931
32,coex_SPL,24,33,-0.03129984051036705
33,coex_LCL,20,21,-0.25469924812030076
34,coex_CLS,27,34,0.008393156898460541
35,coex_EMC,25,30,-0.003939393939393909
36,coex_CLT,29,34,0.18468076885926776
37,coex_core,29,33,-0.10390497480661409
38,coex_WBL,23,28,-0.06346669102423608
39,co-essential,6,8,0.011904761904761418
40,GOBP,17,19,0.6124999999999998
41,ppi,49,50,0.16216244073386954
42,reactome_copathway,20,21,0.11111111111111116
43,MP,15,6,0.125
44,HP,40,38,0.3482793522267207
45,GI_net,23,21,0.04477499244941141
46,gene_gene_on_CbG_name_mapped,16,14,0.13303571428571437
47,gene_gene_on_GcG_name_mapped,31,30,0.0
48,GOMF,6,4,
