,Layer,Epididymitis nodes,Cholangitis nodes,sAB
0,coex_KDN,38,38,-0.4054054054054055
1,coex_BST,18,20,-0.2720483641536271
2,coex_OVR,26,25,-0.6944557823129249
3,coex_LNG,34,29,-0.6848845598845594
4,coex_ITI,35,36,-0.3946791862284822
5,coex_VGN,30,27,-0.23239372377303424
6,coex_HRV,21,22,-0.5610087586831773
7,coex_MSG,35,32,-0.5127598614072495
8,coex_ADV,28,25,-0.5851648351648351
9,coex_EMS,26,22,-0.6990062111801241
10,coex_SMU,22,26,-0.3972920696324953
11,coex_ARG,20,21,-0.8253193960511034
12,coex_TST,28,31,-0.5640670155432321
13,coex_PIT,31,29,-0.16409178923083245
14,coex_LVR,32,30,-0.540401903754627
15,coex_THY,28,26,-0.36716524216524205
16,coex_PNC,23,26,-0.31554160125588715
17,coex_ATC,33,25,-0.4638157894736843
18,coex_BRO,27,26,-0.32752781809385567
19,coex_SKN,27,26,-0.40871794871794864
20,coex_ADS,28,27,-0.43663656399505424
21,coex_GEJ,29,28,-0.6181353767560664
22,coex_BRB,25,22,-0.5444487427466149
23,coex_UTR,17,17,-0.5121434937611413
24,coex_STM,31,31,-0.403225806451613
25,coex_HRA,20,23,-0.31545304583480593
26,coex_PRS,27,25,-0.2820512820512824
27,coex_ATA,22,21,-0.6724738675958191
28,coex_FIB,15,18,-0.3111519607843136
29,coex_BRC,19,28,-0.53551148402407
30,coex_ATT,25,22,-0.32666666666666666
31,coex_TNV,22,17,-0.8049156725627316
32,coex_SPL,33,33,-0.8787878787878787
33,coex_LCL,20,14,-0.21478174603174605
34,coex_CLS,31,31,-0.39346906398730863
35,coex_EMC,31,24,-0.3466520039100687
36,coex_CLT,35,30,-0.3918504901960784
37,coex_core,37,35,-0.21061264246848332
38,coex_WBL,33,26,-0.2996029258098223
39,co-essential,8,9,0.4877450980392153
40,GOBP,10,21,1.109746588693957
41,ppi,50,48,-0.29715136054421776
42,reactome_copathway,25,23,-0.45579464861379737
43,MP,11,11,-0.5499999999999998
44,HP,39,33,-0.33255633255633255
45,GI_net,24,22,-0.8805555555555555
46,gene_gene_on_CbG_name_mapped,14,14,-0.3928571428571429
47,gene_gene_on_GcG_name_mapped,28,28,-0.357142857142857
48,GOMF,2,4,
