,Layer,Tetralogy_of_Fallot nodes,Celiac_disease nodes,sAB
0,coex_KDN,37,32,0.1846234821778303
1,coex_BST,28,17,0.325746965452848
2,coex_OVR,31,23,0.06145135317645822
3,coex_LNG,35,28,0.37962529274004675
4,coex_ITI,36,29,0.2470751231527093
5,coex_VGN,35,21,0.14523809523809517
6,coex_HRV,14,14,0.25
7,coex_MSG,37,28,-0.00821948321948307
8,coex_ADV,28,18,0.27700138026224996
9,coex_EMS,29,21,0.10435382190701326
10,coex_SMU,26,17,0.1810897435897434
11,coex_ARG,26,14,0.007759784075573872
12,coex_TST,37,23,0.028065021543282276
13,coex_PIT,31,21,-0.04165189649060608
14,coex_LVR,27,21,0.1772486772486772
15,coex_THY,29,23,0.6167108753315649
16,coex_PNC,24,22,0.2376422027584817
17,coex_ATC,35,24,0.2576170298627929
18,coex_BRO,33,24,0.07814992025518386
19,coex_SKN,32,21,-0.09029649595687306
20,coex_ADS,22,19,0.5526315789473686
21,coex_GEJ,30,22,0.19435064935064927
22,coex_BRB,16,16,0.0
23,coex_UTR,29,12,0.11403139893467928
24,coex_STM,33,27,0.16692168863779044
25,coex_HRA,34,18,-0.04612870789341361
26,coex_PRS,32,23,0.29873772791023834
27,coex_ATA,28,26,-0.05428367928367939
28,coex_FIB,23,17,0.3622762148337595
29,coex_BRC,29,20,-0.043050668543279436
30,coex_ATT,32,22,0.33417508417508435
31,coex_TNV,16,17,0.35726127320954904
32,coex_SPL,28,31,0.21878661251269227
33,coex_LCL,21,16,-0.021428571428571574
34,coex_CLS,30,21,0.1726765188834154
35,coex_EMC,29,26,0.20555777989089652
36,coex_CLT,30,23,0.008750341810226825
37,coex_core,32,34,0.6850712305498132
38,coex_WBL,22,29,0.07954545454545459
39,co-essential,12,5,0.0333333333333341
40,GOBP,14,18,1.7884615384615383
41,ppi,50,49,0.17164296021438896
42,reactome_copathway,15,19,0.6301872469635628
43,MP,12,15,1.166666666666667
44,HP,44,26,0.7671828171828172
45,GI_net,20,15,0.0680672268907565
46,gene_gene_on_CbG_name_mapped,2,11,0.6118881118881119
47,gene_gene_on_GcG_name_mapped,36,30,0.14267676767676774
48,GOMF,5,15,
