,Layer,Malnutrition nodes,Heartburn nodes,sAB
0,coex_KDN,37,41,0.1771884454811281
1,coex_BST,31,16,-0.1529891304347828
2,coex_OVR,28,24,0.023809523809523725
3,coex_LNG,30,29,0.2270114942528738
4,coex_ITI,32,38,0.08843984962405993
5,coex_VGN,33,39,0.026036023835319666
6,coex_HRV,16,15,-0.22559523809523796
7,coex_MSG,40,35,0.14904761904761887
8,coex_ADV,26,22,0.09245647969052229
9,coex_EMS,30,27,0.45338441890166026
10,coex_SMU,25,25,-0.10386054421768698
11,coex_ARG,25,29,0.12754716981132086
12,coex_TST,29,40,-0.06313093453273355
13,coex_PIT,28,35,0.044841269841269904
14,coex_LVR,30,28,0.1387110016420361
15,coex_THY,30,23,-0.02202797202797191
16,coex_PNC,30,30,0.24137931034482785
17,coex_ATC,29,27,-0.008852258852259043
18,coex_BRO,24,35,0.25728410008071023
19,coex_SKN,31,29,-0.01646210792908631
20,coex_ADS,27,25,-0.07642823015493772
21,coex_GEJ,32,23,0.08371735791090629
22,coex_BRB,17,24,0.3688127690100429
23,coex_UTR,24,22,-0.1268939393939399
24,coex_STM,32,35,0.03170975479744165
25,coex_HRA,24,24,-0.05734126984126986
26,coex_PRS,27,30,-0.02893772893772928
27,coex_ATA,25,25,0.20833333333333348
28,coex_FIB,22,24,0.02371541501976271
29,coex_BRC,25,34,0.19299357674104112
30,coex_ATT,29,28,-0.06040692361447064
31,coex_TNV,22,21,0.15720092915214856
32,coex_SPL,30,30,-0.016666666666666163
33,coex_LCL,19,14,0.06944444444444464
34,coex_CLS,34,30,0.3015399900645801
35,coex_EMC,30,35,-0.00073260073260073
36,coex_CLT,29,39,0.13283475783475795
37,coex_core,34,36,0.28095238095238084
38,coex_WBL,29,25,0.5236270753512136
39,co-essential,14,6,0.2809523809523804
40,GOBP,19,13,0.0009578544061303873
41,ppi,48,50,0.21442176870748297
42,reactome_copathway,20,20,0.6958610056925996
43,MP,13,12,0.37103174603174605
44,HP,42,48,0.5861111111111112
45,GI_net,20,18,-0.0010233918128657038
46,gene_gene_on_CbG_name_mapped,13,8,0.10805860805860812
47,gene_gene_on_GcG_name_mapped,28,34,-0.020093521279479276
48,GOMF,5,4,
