,Layer,Renal_neoplasm nodes,Neoplasm_of_the_skin nodes,sAB
0,coex_KDN,42,40,-0.346967846967847
1,coex_BST,29,25,-0.4901915708812261
2,coex_OVR,33,31,0.011180351906158403
3,coex_LNG,41,34,-0.3986906949548943
4,coex_ITI,42,36,-0.3325702075702075
5,coex_VGN,33,34,-0.20983983824194552
6,coex_HRV,17,20,-0.6025111799105605
7,coex_MSG,39,41,-0.19053314571607238
8,coex_ADV,29,26,-0.19602157102157092
9,coex_EMS,29,29,-0.2469211822660098
10,coex_SMU,32,27,-0.41151924951267094
11,coex_ARG,32,23,-0.08653353814644138
12,coex_TST,40,32,-0.4397376192639708
13,coex_PIT,32,29,-0.23480780101752408
14,coex_LVR,36,29,-0.2926687297376951
15,coex_THY,33,29,-0.5299322479522703
16,coex_PNC,31,26,-0.29120879120879106
17,coex_ATC,36,33,-0.295085306850013
18,coex_BRO,36,27,-0.258160691767249
19,coex_SKN,38,35,0.016623766623766745
20,coex_ADS,29,33,-0.05336825172630233
21,coex_GEJ,29,28,-0.15492394780053553
22,coex_BRB,21,22,-0.42368871438638855
23,coex_UTR,29,22,-0.2197402597402598
24,coex_STM,35,30,-0.3496336996336993
25,coex_HRA,30,29,-0.4205665024630538
26,coex_PRS,27,25,-0.4246723646723649
27,coex_ATA,31,27,-0.31094219915132015
28,coex_FIB,33,27,-0.15683023872679036
29,coex_BRC,36,26,-0.3015922249793217
30,coex_ATT,34,33,-0.33739613880742914
31,coex_TNV,18,22,-0.18469765528589033
32,coex_SPL,35,33,-0.22803666921313992
33,coex_LCL,29,19,-0.2512839325018341
34,coex_CLS,35,28,-0.42500000000000004
35,coex_EMC,36,30,-0.2007575757575759
36,coex_CLT,39,32,-0.24745508306247754
37,coex_core,41,42,-0.048318710381596075
38,coex_WBL,35,32,-0.18972210585113802
39,co-essential,20,7,-0.013650793650794135
40,GOBP,11,11,-0.04999999999999982
41,ppi,50,49,-0.11063904349618636
42,reactome_copathway,25,25,-0.12068027210884358
43,MP,12,13,-0.583333333333333
44,HP,30,35,-0.002564102564102333
45,GI_net,30,25,-0.0714285714285714
46,gene_gene_on_CbG_name_mapped,17,14,-0.2731092436974789
47,gene_gene_on_GcG_name_mapped,27,30,-0.1074074074074074
48,GOMF,4,4,
